"Binomial","CommonName","Pathway","Landmass","geometry","longitude","latitude","Distance"
"Antilope cervicapra","Blackbuck","Hunting","Guajaba Island",c(-77.5325809167858, 21.8515063131581),-77.5325809167858,21.8515063131581,14527.9667405185
"Antilope cervicapra","Blackbuck","Hunting","West Romano Island",c(-78.1676175333706, 22.3610526768421),-78.1676175333706,22.3610526768421,14513.038684935
"Ammotragus lervia","Aoudad","Hunting, Ornamental Purposes","Europe",c(8.64157977899012, 45.8786223347746),8.64157977899012,45.8786223347746,2290.07649890751
"Ammotragus lervia","Aoudad","Fauna Improvement, Hunting","Europe",c(16.6190874513258, 43.5156911706559),16.6190874513258,43.5156911706559,2273.89022129121
"Bettongia penicillata","Woylie","Conservation","Wedge Island",c(136.471439780469, -35.1577770097401),136.471439780469,-35.1577770097401,1853.52221714756
"Bettongia penicillata","Woylie","Conservation","Saint Peter Island",c(133.585840490456, -32.281506048884),133.585840490456,-32.281506048884,1590.47743202703
"Bettongia penicillata","Woylie","Conservation","Venus Bay Island",c(134.604520206012, -33.1711773899169),134.604520206012,-33.1711773899169,1678.98930133875
"Bubalus bubalis","Water Buffalo","Farming","Cuba Island",c(-83.9333661439969, 22.0494971294626),-83.9333661439969,22.0494971294626,NA
"Eliomys quercinus","Garden Dormouse","Stowaway","Europe",c(9.56072550497568, 55.3377543462343),9.56072550497568,55.3377543462343,799.312902936632
"Hemitragus jemlahicus","Himalayan Tahr","Hunting","South Island",c(168.240186845357, -45.0995752961568),168.240186845357,-45.0995752961568,12134.0295900865
"Hemitragus jemlahicus","Himalayan Tahr","Hunting","South Island",c(170.599068296011, -45.2256052724083),170.599068296011,-45.2256052724083,12309.5535252218
"Hemitragus jemlahicus","Himalayan Tahr","Hunting","South Island",c(170.503464325159, -44.9391807957651),170.503464325159,-44.9391807957651,12290.4210142732
"Hemitragus jemlahicus","Himalayan Tahr","Hunting","South Island",c(170.331810833622, -44.7462087446494),170.331810833622,-44.7462087446494,12269.6591834178
"Hemitragus jemlahicus","Himalayan Tahr","Hunting","South Island",c(170.741769317193, -44.6044509553783),170.741769317193,-44.6044509553783,12293.4950206914
"Hemitragus jemlahicus","Himalayan Tahr","Hunting","South Island",c(170.404439256391, -44.5165154904264),170.404439256391,-44.5165154904264,12265.0658086347
"Hemitragus jemlahicus","Himalayan Tahr","Hunting","South Island",c(171.854980995438, -42.6080659847844),171.854980995438,-42.6080659847844,12290.9773768851
"Hippopotamus amphibius","Hippopotamus","Ornamental Purposes","South America",c(-74.3831029978607, 6.23951344825832),-74.3831029978607,6.23951344825832,11241.983189812
"Lagorchestes hirsutus","Rufous Hare Wallaby","Conservation","Trimouille Island",c(115.562400401156, -20.3953086396604),115.562400401156,-20.3953086396604,570.576257497084
"Leporillus conditor","Greater Stick-nest Rat","Conservation","Reevesby Island",c(136.287218465557, -34.5264553076),136.287218465557,-34.5264553076,335.702540275056
"Leporillus conditor","Greater Stick-nest Rat","Conservation","Saint Peter Island",c(133.585840490456, -32.281506048884),133.585840490456,-32.281506048884,20.3306620607567
"Leporillus conditor","Greater Stick-nest Rat","Conservation","Salutation Island",c(113.762346316016, -26.5375236144495),113.762346316016,-26.5375236144495,2030.58625255558
"Macaca arctoides","Stump-Tailed Macaque","Research","Guajaba Island",c(-77.5325809167858, 21.8515063131581),-77.5325809167858,21.8515063131581,15098.4616148788
"Mustela lutreola","European Mink","Conservation","Kunashir Island",c(145.947939627092, 44.1732839203017),145.947939627092,44.1732839203017,9433.31311875902
"Mustela lutreola","European Mink","Conservation","Iturup Island",c(147.877649144619, 45.0758532769095),147.877649144619,45.0758532769095,9410.53466283822
"Parantechinus apicalis","Dibbler","Conservation","Escape Island",c(114.981814452571, -30.3321396830957),114.981814452571,-30.3321396830957,585.355443685793
"Pseudomys fieldi","Djoongari","Conservation","Faure Island",c(113.88397565528, -25.8463130251696),113.88397565528,-25.8463130251696,132.240776896824
"Pseudomys fieldi","Djoongari","Conservation","North West Island",c(115.523019990504, -20.3628353786041),115.523019990504,-20.3628353786041,557.468394689693
"Rusa marianna","Philippine Deer","Hunting","Tinian Island",c(145.631909255971, 15.0139129090614),145.631909255971,15.0139129090614,2420.57112987713
"Rusa timorensis","Javan Deer","Hunting","Borneo Island",c(116.298838522456, -1.48776097474417),116.298838522456,-1.48776097474417,888.69278396899
"Rusa timorensis","Javan Deer","Hunting","North Island",c(176.775643228256, -38.6168600771937),176.775643228256,-38.6168600771937,7334.10985852969
"Rusa timorensis","Javan Deer","Hunting","North Island",c(175.139259271312, -39.3314448377013),175.139259271312,-39.3314448377013,7209.07551152225
"Rusa timorensis","Javan Deer","Hunting","North Island",c(174.753684599256, -37.3779406032728),174.753684599256,-37.3779406032728,7135.80514517921
"Rusa timorensis","Javan Deer","Hunting","North Island",c(178.153146003271, -37.8536455315312),178.153146003271,-37.8536455315312,7439.82454867707
"Rusa unicolor","Sambar Deer","Farming","North Island",c(178.165882880804, -37.85635850635),178.165882880804,-37.85635850635,10664.8923644012
"Rusa unicolor","Sambar Deer","Fauna Improvement, Hunting","Australia",c(142.983090222942, -38.3911259500756),142.983090222942,-38.3911259500756,8055.32939069625
"Capra aegagrus","Wild Goat","Hunting","Atalandi Island",c(23.0960484033847, 38.6748571273919),23.0960484033847,38.6748571273919,2576.13226171288
"Capra aegagrus","Wild Goat","Hunting","Sapientza Island",c(21.7050292324958, 36.7697595526242),21.7050292324958,36.7697595526242,2692.62029045747
"Cephalophus adersi","Aders' Duiker","Conservation","Mnemba Island",c(39.3805362382073, -5.82556398635715),39.3805362382073,-5.82556398635715,319.417606366594
"Cephalophus adersi","Aders' Duiker","Conservation","Chumbe Island",c(39.1775026946336, -6.27901408972269),39.1775026946336,-6.27901408972269,374.610778437124
"Cricetomys gambianus","Gambian Rat","Pet","Grass Island",c(-80.9559432096868, 24.7616061287288),-80.9559432096868,24.7616061287288,9502.38076721057
"Gazella subgutturosa","Goitered Gazelle","Conservation (L)","Um Al Naasan Island",c(50.4029357983437, 26.1467096526181),50.4029357983437,26.1467096526181,2839.64799770286
"Geocapromys ingrahami","Bahaman Hutia","Conservation","Warderick Wells Island",c(-76.6235484420524, 24.3829768377477),-76.6235484420524,24.3829768377477,374.007777546542
"Herpestes auropunctatus","Small Indian Mongoose","Biological Control","Kyushu Island",c(130.525330426497, 31.3510219750982),130.525330426497,31.3510219750982,5311.87181496302
"Herpestes auropunctatus","Small Indian Mongoose","Biological Control","Amami Oshima Island",c(129.426874451971, 28.3123603031268),129.426874451971,28.3123603031268,5276.67416220525
"Lama glama","Lama","Zoo","Europe",c(11.4079935294212, 43.5429159613401),11.4079935294212,43.5429159613401,NA
"Manis culionensis","Philippine Pangolin","Pet (L)","Balabac Island",c(117.019489630125, 7.94905536277252),117.019489630125,7.94905536277252,297.558489119676
"Manis culionensis","Philippine Pangolin","Pet (L)","Apulit Island",c(119.616588615655, 10.9596829748589),119.616588615655,10.9596829748589,142.014925621926
"Oryctolagus cuniculus","European Rabbit","Hunting","Australia",c(123.470281199388, -18.2049606859229),123.470281199388,-18.2049606859229,14434.0601376733
