"ID","Binomial","GID_0","NAME_0","GID_1","NAME_1",
692,"Oryctolagus cuniculus","SWE","Sweden","SWE.15_1","Stockholm",
849,"Ovis orientalis","SWE","Sweden","SWE.15_1","Stockholm",
1516,"Lepus europaeus","SWE","Sweden","SWE.15_1","Stockholm",
1542,"Lepus europaeus","SWE","Sweden","SWE.15_1","Stockholm",
2321,"Nyctereutes procyonoides","SWE","Sweden","SWE.15_1","Stockholm",
2331,"Dama dama","SWE","Sweden","SWE.15_1","Stockholm",
2346,"Neovison vison","SWE","Sweden","SWE.15_1","Stockholm",
848,"Ovis orientalis","ESP","Spain","ESP.5_1","Castilla y León",
1738,"Neovison vison","ESP","Spain","ESP.5_1","Castilla y León",
1739,"Neovison vison","ESP","Spain","ESP.5_1","Castilla y León",
1982,"Procyon lotor","ESP","Spain","ESP.5_1","Castilla y León",
2341,"Dama dama","ESP","Spain","ESP.5_1","Castilla y León",
2522,"Myocastor coypus","ESP","Spain","ESP.5_1","Castilla y León",
2685,"Genetta genetta","ESP","Spain","ESP.5_1","Castilla y León",
2014,"Rattus argentiventer","PHL","Philippines","PHL.42_1","Lanao del Sur",
2225,"Viverra tangalunga","PHL","Philippines","PHL.42_1","Lanao del Sur",
2334,"Rattus tanezumi","PHL","Philippines","PHL.42_1","Lanao del Sur",
2350,"Rattus exulans","PHL","Philippines","PHL.42_1","Lanao del Sur",
2712,"Suncus murinus","PHL","Philippines","PHL.42_1","Lanao del Sur",
2685,"Genetta genetta","PRT","Portugal","PRT.12_1","Lisboa",
247,"Herpestes auropunctatus","PRI","Puerto Rico","PRI.11_1","Bayamón",
1853,"Odocoileus virginianus","PRI","Puerto Rico","PRI.11_1","Bayamón",
848,"Ovis orientalis","AUT","Austria","AUT.2_1","Kärnten",
2321,"Nyctereutes procyonoides","AUT","Austria","AUT.2_1","Kärnten",
2341,"Dama dama","AUT","Austria","AUT.2_1","Kärnten",
2679,"Ondatra zibethicus","AUT","Austria","AUT.2_1","Kärnten",
2321,"Nyctereutes procyonoides","MKD","Macedonia","MKD.84_1","Želino",
1663,"Mustela nivalis","LBY","Libya","LBY.4_1","Al Jifarah",
1093,"Cervus nippon","LTU","Lithuania","LTU.7_1","Taurages",
2321,"Nyctereutes procyonoides","LTU","Lithuania","LTU.7_1","Taurages",
2346,"Neovison vison","LTU","Lithuania","LTU.7_1","Taurages",
2679,"Ondatra zibethicus","LTU","Lithuania","LTU.7_1","Taurages",
47,"Bubalus bubalis","PRY","Paraguay","PRY.1_1","Alto Paraguay",
1814,"Nyctereutes procyonoides","MNG","Mongolia","MNG.5_1","Darhan-Uul",
2677,"Ondatra zibethicus","MNG","Mongolia","MNG.5_1","Darhan-Uul",
1922,"Phalanger orientalis","SLB","Solomon Islands","SLB.6_1","Makira Ulawa",
2349,"Rattus exulans","SLB","Solomon Islands","SLB.6_1","Makira Ulawa",
2013,"Rattus argentiventer","PHL","Philippines","PHL.20_1","Camarines Sur",
2059,"Rattus tanezumi","PHL","Philippines","PHL.20_1","Camarines Sur",
2227,"Viverra tangalunga","PHL","Philippines","PHL.20_1","Camarines Sur",
2350,"Rattus exulans","PHL","Philippines","PHL.20_1","Camarines Sur",
2709,"Suncus murinus","PHL","Philippines","PHL.20_1","Camarines Sur",
1868,"Ovibos moschatus","GRL","Greenland","GRL.5_1","Sermersooq",
247,"Herpestes auropunctatus","PRI","Puerto Rico","PRI.33_1","Gurabo",
1853,"Odocoileus virginianus","PRI","Puerto Rico","PRI.33_1","Gurabo",
1040,"Capra ibex","BGR","Bulgaria","BGR.21_1","Sofia",
2321,"Nyctereutes procyonoides","BGR","Bulgaria","BGR.21_1","Sofia",
2679,"Ondatra zibethicus","BGR","Bulgaria","BGR.21_1","Sofia",
2321,"Nyctereutes procyonoides","MKD","Macedonia","MKD.62_1","Rosoman",
918,"Apodemus sylvaticus","DZA","Algeria","DZA.45_1","Tipaza",
1663,"Mustela nivalis","DZA","Algeria","DZA.45_1","Tipaza",
2332,"Rattus tanezumi","MYS","Malaysia","MYS.8_1","Pahang",
240,"Herpestes auropunctatus","VCT","Saint Vincent and the Grenadines","VCT.4_1","Saint David",
1360,"Dasyprocta leporina","VCT","Saint Vincent and the Grenadines","VCT.4_1","Saint David",
865,"Ovis orientalis","BEL","Belgium","BEL.3_1","Wallonie",
1017,"Callosciurus erythraeus","BEL","Belgium","BEL.3_1","Wallonie",
1987,"Procyon lotor","BEL","Belgium","BEL.3_1","Wallonie",
2321,"Nyctereutes procyonoides","BEL","Belgium","BEL.3_1","Wallonie",
2341,"Dama dama","BEL","Belgium","BEL.3_1","Wallonie",
2346,"Neovison vison","BEL","Belgium","BEL.3_1","Wallonie",
2352,"Oryctolagus cuniculus","BEL","Belgium","BEL.3_1","Wallonie",
2379,"Castor canadensis","BEL","Belgium","BEL.3_1","Wallonie",
2428,"Eutamias sibiricus","BEL","Belgium","BEL.3_1","Wallonie",
2522,"Myocastor coypus","BEL","Belgium","BEL.3_1","Wallonie",
2679,"Ondatra zibethicus","BEL","Belgium","BEL.3_1","Wallonie",
970,"Apodemus sylvaticus","GGY","Guernsey","GGY.9_1","Saint Peter Port",
1169,"Crocidura russula","GGY","Guernsey","GGY.9_1","Saint Peter Port",
2419,"Erinaceus europaeus","GGY","Guernsey","GGY.9_1","Saint Peter Port",
2322,"Rattus exulans","WSM","Samoa","WSM.5_1","Gaga'emauga",
