ID,Order,Family,Binomial,CommonName,Landmass,Date,Pathway,Method,Inv. Stage,A. Realm,N. Realm,References,Notes
1,Cetartiodactyla,Bovidae,Antilope cervicapra,Blackbuck,Guajaba Island,1985,Hunting,Release,Established,Panamanian,Oriental,"Borroto-Páez 2009, Borroto-Páez & Mancina 2017",
2,Cetartiodactyla,Bovidae,Antilope cervicapra,Blackbuck,West Romano Island,1985,Hunting,Release,Established,Panamanian,Oriental,"Borroto-Páez 2009, Borroto-Páez & Mancina 2017",
3,Cetartiodactyla,Bovidae,Antilope cervicapra,Blackbuck,South America,1906,Hunting,Release,Invasive,Neotropical,Oriental,"Long 2003, Novillo & Ojeda 2008, Csurhes & Fisher 2016",
4,Cetartiodactyla,Bovidae,Antilope cervicapra,Blackbuck,North America,1932,Hunting,Escape,Invasive,Nearctic,Oriental,"Long 2003, Simberloff & Rejmánek 2011, Csurhes & Fisher 2016",Invaded the Edwards Plateau ecoregion
5,Cetartiodactyla,Bovidae,Ammotragus lervia,Aoudad,North America,1950,"Hunting, Zoo",Release,Invasive,Nearctic,Saharo-Arabian,"Long 2003, Cassinello 2015, Mori et al. 2017",
6,Cetartiodactyla,Bovidae,Ammotragus lervia,Aoudad,La Palma Island,1972,Conservation,Release,Invasive,Palearctic,Saharo-Arabian,"Long 2003, Cassinello 2015, Mori et al. 2017",
7,Cetartiodactyla,Bovidae,Ammotragus lervia,Aoudad,Europe,1993,"Hunting, Ornamental Purposes",Escape,Established,Palearctic,Saharo-Arabian,"Cassinello 2015, Mori et al. 2017",
8,Cetartiodactyla,Bovidae,Ammotragus lervia,Aoudad,North America,1953,Zoo,Escape,Established,Nearctic,Saharo-Arabian,"Long 2003, Cassinello 2015, Mori et al. 2017",
9,Cetartiodactyla,Bovidae,Ammotragus lervia,Aoudad,Europe,1995,"Fauna Improvement, Hunting",Release,Established,Palearctic,Saharo-Arabian,"Cassinello 2015, Mori et al. 2017",
10,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Snake Island,1866,Fauna Improvement,Release,Invasive,Australian,Oriental,"West 2011, DEEA 2016, Davis et al. 2016",
11,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Sunday Island,1866,Fauna Improvement,Release,Invasive,Australian,Oriental,"Long 2003, West 2011, Timmins et al. 2015a, DEEA 2016, Davis et al. 2016",
12,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Drum Island,,Hunting (L),Release (L),Invasive,Australian,Oriental,"West 2011, DEEA 2016, Davis et al. 2016",
13,Cetartiodactyla,Cervidae,Axis porcinus,Hog Deer,Little Snake Island,,Hunting (L),Release,Invasive,Australian,Oriental,"West 2011, DEEA 2016, Davis et al. 2016",
