"species","countries"
"Amblysomus_corriae","ZAF"
"Amblysomus_hottentotus","LSO, SWZ, ZAF"
"Amblysomus_marleyi","MOZ, SWZ, ZAF"
"Amblysomus_robustus","ZAF"
"Amblysomus_septentrionalis","LSO, SWZ, ZAF"
"Calcochloris_obtusirostris","MOZ, SWZ, ZAF, ZWE"
"Calcochloris_tytonis","SOM"
"Carpitalpa_arendsi","MOZ, ZWE"
"Chlorotalpa_duthieae","ZAF"
"Chlorotalpa_sclateri","LSO, ZAF"
"Chrysochloris_asiatica","ZAF"
"Chrysochloris_stuhlmanni","AGO, CMR, COD, KEN, MWI, RWA, TZA, UGA"
"Chrysochloris_visagiei","ZAF"
"Chrysospalax_trevelyani","ZAF"
"Chrysospalax_villosus","ZAF"
"Cryptochloris_wintoni","ZAF"
"Cryptochloris_zyli","ZAF"
"Echinops_telfairi","MDG"
"Eremitalpa_granti","NAM, ZAF"
"Geogale_aurita","MDG"
"Hemicentetes_nigriceps","MDG"
"Hemicentetes_semispinosus","MDG"
"Huetia_leucorhina","AGO, CAF, CMR, COD, COG, GAB"
"Limnogale_mergulus","MDG"
"Microgale_brevicaudata","MDG"
"Microgale_cowani","MDG"
"Microgale_dobsoni","MDG"
"Microgale_drouhardi","MDG"
"Microgale_dryas","MDG"
"Microgale_fotsifotsy","MDG"
"Microgale_gracilis","MDG"
"Microgale_grandidieri","MDG"
"Microgale_gymnorhyncha","MDG"
"Microgale_jenkinsae","MDG"
"Microgale_jobihely","MDG"
"Microgale_longicaudata","MDG"
"Microgale_majori","MDG"
"Microgale_monticola","MDG"
"Microgale_nasoloi","MDG"
"Microgale_parvula","MDG"
"Microgale_principula","MDG"
"Microgale_pusilla","MDG"
"Microgale_soricoides","MDG"
"Microgale_taiva","MDG"
"Microgale_talazaci","MDG"
"Microgale_thomasi","MDG"
"Micropotamogale_lamottei","CIV, GIN, LBR"
"Micropotamogale_ruwenzorii","BDI, COD, RWA, UGA"
"Neamblysomus_gunningi","ZAF"
"Neamblysomus_julianae","ZAF"
"Oryzorictes_hova","MDG"
"Oryzorictes_tetradactylus","MDG"
"Potamogale_velox","AGO, BDI, CAF, CMR, COD, COG, GAB, GNQ, KEN, NGA, RWA, SSD, TZA, UGA, ZMB"
"Setifer_setosus","MDG"
"Tenrec_ecaudatus","MDG"
"Acinonyx_jubatus","AGO, BEN, BFA, BWA, CAF, DZA, ETH, IRN, KEN, LBY, MLI, MOZ, NAM, NER, SDN, SOM, SSD, TCD, TZA, UGA, ZAF, ZMB, ZWE"
"Ailuropoda_melanoleuca","CHN"
"Ailurus_fulgens","BTN, CHN, IND, MMR, NPL, Z07"
"Aonyx_capensis","AGO, BEN, BFA, BWA, CAF, CIV, CMR, COD, ERI, ETH, GHA, GIN, GMB, GNB, KEN, LBR, LSO, MLI, MOZ, MRT, MWI, NAM, NER, NGA, SDN, SEN, SLE, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Aonyx_cinereus","BGD, BRN, BTN, CHN, IDN, IND, KHM, LAO, MMR, MYS, NPL, PHL, SGP, THA, VNM, Z07"
"Aonyx_congicus","AGO, BDI, CAF, CMR, COD, COG, GAB, GNQ, RWA, SSD, UGA"
"Arctictis_binturong","BGD, BRN, BTN, CHN, IDN, IND, KHM, LAO, MMR, MYS, NPL, PHL, SGP, THA, VNM, Z07"
"Arctogalidia_trivirgata","BGD, BRN, CHN, IDN, IND, KHM, LAO, MMR, MYS, SGP, THA, VNM, Z07"
"Arctonyx_albogularis","BGD, BTN, CHN, IND, MMR, MNG, NPL, Z07"
"Arctonyx_collaris","BGD, CHN, IND, KHM, LAO, MMR, THA, VNM"
"Arctonyx_hoevenii","IDN"
"Atelocynus_microtis","BOL, BRA, COL, ECU, PER"
"Atilax_paludinosus","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, ERI, ETH, GAB, GHA, GIN, GMB, GNB, GNQ, KEN, LBR, LSO, MLI, MOZ, MRT, MWI, NAM, NER, NGA, RWA, SDN, SEN, SLE, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Bassaricyon_alleni","BOL, BRA, COL, ECU, GUY, PER, VEN"
"Bassaricyon_gabbii","CRI, HND, NIC, PAN"
"Bassaricyon_medius","COL, ECU, PAN"
"Bassaricyon_neblina","COL, ECU"
"Bassariscus_astutus","MEX, USA"
"Bassariscus_sumichrasti","BLZ, CRI, GTM, HND, MEX, NIC, PAN, SLV"
"Bdeogale_crassicauda","BDI, COD, KEN, MOZ, MWI, RWA, TZA, UGA, ZMB, ZWE"
"Bdeogale_jacksoni","KEN, TZA, UGA"
"Bdeogale_nigripes","AGO, CAF, CMR, COD, COG, GAB, GNQ, NGA"
"Bdeogale_omnivora","KEN, SOM, TZA"
"Canis_adustus","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, ETH, GAB, GHA, GIN, GMB, GNB, KEN, MLI, MOZ, MRT, MWI, NAM, NER, NGA, RWA, SDN, SEN, SLE, SOM, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Canis_aureus","AFG, ALB, ARM, AUT, AZE, BGD, BGR, BIH, BTN, CHN, EGY, GEO, GRC, HRV, HUN, IND, IRN, IRQ, ISR, ITA, JOR, KAZ, KGZ, KHM, KWT, LAO, LBN, LKA, MDA, MKD, MMR, MNE, NPL, PAK, PSE, QAT, ROU, RUS, SAU, SRB, SVK, SVN, SYR, THA, TJK, TKM, TUR, UKR, UZB, VNM, XCA, XKO, Z01, Z06, Z07"
"Canis_latrans","BLZ, CAN, CRI, GTM, HND, MEX, NIC, PAN, SLV, USA"
"Canis_lupaster","BDI, BFA, CAF, CMR, COD, DJI, DZA, EGY, ERI, ESH, ESP, ETH, ISR, KEN, LBY, MAR, MLI, MRT, NER, NGA, RWA, SDN, SOM, SSD, TCD, TUN, TZA, UGA"
"Canis_lupus","AFG, ALB, AND, ARE, ARM, AUT, AZE, BGD, BGR, BHR, BIH, BLR, BTN, CAN, CHE, CHN, CZE, DEU, DNK, EGY, ESP, EST, FIN, FRA, GEO, GRC, GRL, HRV, HUN, IND, IRN, IRQ, ISR, ITA, JOR, KAZ, KGZ, KOR, KWT, LBN, LIE, LTU, LUX, LVA, MCO, MDA, MKD, MMR, MNE, MNG, NLD, NOR, NPL, OMN, PAK, POL, PRK, PRT, PSE, QAT, ROU, RUS, SAU, SMR, SRB, SVK, SVN, SWE, SYR, TJK, TKM, TUR, UKR, USA, UZB, VAT, XCA, XKO, YEM, Z01, Z04, Z06, Z07"
"Canis_mesomelas","AGO, BWA, DJI, ERI, ETH, KEN, LSO, MOZ, NAM, SDN, SOM, SSD, SWZ, TZA, UGA, ZAF, ZMB, ZWE"
"Canis_rufus","USA"
"Canis_simensis","ETH"
"Caracal_aurata","AGO, BDI, CAF, CIV, CMR, COD, COG, GAB, GHA, GIN, GNB, GNQ, LBR, NGA, RWA, SLE, SSD, TGO, UGA"
"Caracal_caracal","AFG, AGO, ARE, BEN, BFA, BWA, CAF, CIV, CMR, COD, DJI, DZA, EGY, ERI, ESP, ETH, GHA, GIN, GMB, GNB, IND, IRN, IRQ, ISR, JOR, KAZ, KEN, LBN, LSO, MAR, MLI, MOZ, MRT, MWI, NAM, NER, NGA, OMN, PAK, PSE, SAU, SDN, SEN, SOM, SSD, SWZ, SYR, TCD, TGO, TJK, TKM, TUN, TUR, TZA, UGA, UZB, YEM, Z06, ZAF, ZMB, ZWE"
"Catopuma_badia","BRN, IDN, MYS"
"Catopuma_temminckii","BGD, BTN, CHN, IDN, IND, KHM, LAO, MMR, MYS, NPL, THA, VNM, Z07"
"Cerdocyon_thous","ARG, BOL, BRA, COL, ECU, GUY, PAN, PRY, SUR, URY, VEN"
"Chrotogale_owstoni","CHN, KHM, LAO, VNM"
"Chrysocyon_brachyurus","ARG, BOL, BRA, PER, PRY, URY"
"Civettictis_civetta","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, DJI, ERI, ETH, GAB, GHA, GIN, GMB, GNB, GNQ, KEN, LBR, MLI, MOZ, MRT, MWI, NAM, NER, NGA, RWA, SDN, SEN, SLE, SOM, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Conepatus_chinga","ARG, BOL, BRA, CHL, PER, PRY, URY"
"Conepatus_humboldtii","ARG, CHL"
"Conepatus_leuconotus","GTM, HND, MEX, NIC, SLV, USA"
"Conepatus_semistriatus","BLZ, BRA, COL, CRI, ECU, GTM, HND, MEX, NIC, PAN, PER, VEN"
"Crocuta_crocuta","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, DJI, ERI, ETH, GAB, GHA, GIN, GMB, GNB, KEN, LBR, MLI, MOZ, MRT, MWI, NAM, NER, NGA, RWA, SDN, SEN, SLE, SOM, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Crossarchus_alexandri","CAF, COD, COG, KEN, SSD, UGA"
"Crossarchus_ansorgei","AGO, COD, COG"
"Crossarchus_obscurus","CIV, GHA, GIN, LBR, SLE"
"Crossarchus_platycephalus","BEN, CAF, CMR, COG, GAB, GNQ, NGA"
"Cryptoprocta_ferox","MDG"
"Cuon_alpinus","BGD, BTN, CHN, IDN, IND, KHM, LAO, MMR, MYS, NPL, THA, VNM, Z01, Z03, Z04, Z05, Z06, Z07, Z08, Z09"
"Cynictis_penicillata","AGO, BWA, LSO, NAM, SWZ, ZAF, ZWE"
"Cynogale_bennettii","BRN, IDN, MMR, MYS, SGP, THA"
"Diplogale_hosei","BRN, IDN, MYS"
"Dologale_dybowskii","CAF, COD, SSD, UGA"
"Eira_barbara","ARG, BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, TTO, URY, VEN"
"Eupleres_goudotii","MDG"
"Eupleres_major","MDG"
"Felis_bieti","CHN"
"Felis_chaus","AFG, ARM, AZE, BGD, BTN, CHN, EGY, GEO, GRC, IND, IRN, IRQ, ISR, JOR, KAZ, KHM, KWT, LAO, LBN, LKA, MMR, NPL, PAK, PSE, RUS, SYR, THA, TJK, TKM, TUR, UZB, VNM, XCA, Z01, Z06, Z07"
"Felis_margarita","AFG, ARE, DZA, ESH, IRN, IRQ, JOR, KWT, MAR, MLI, MRT, NER, OMN, PAK, SAU, SYR, TCD, TKM, UZB"
"Felis_nigripes","AGO, BWA, LSO, NAM, SWZ, ZAF, ZWE"
