"Species1","Species2","n_virus"
"Abrothrix longipilis","Abrothrix olivaceus",1
"Abrothrix longipilis","Abrothrix sanborni",1
"Abrothrix longipilis","Akodon azarae",1
"Abrothrix longipilis","Akodon cursor",1
"Abrothrix longipilis","Akodon montensis",1
"Abrothrix longipilis","Akodon paranaensis",1
"Abrothrix longipilis","Akodon serrensis",1
"Abrothrix longipilis","Akodon varius",1
"Abrothrix longipilis","Bibimys chacoensis",1
"Abrothrix longipilis","Calomys tener",1
"Abrothrix longipilis","Carollia perspicillata",1
"Abrothrix longipilis","Desmodus rotundus",1
"Abrothrix longipilis","Graomys griseoflavus",1
"Abrothrix longipilis","Loxodontomys micropus",1
"Abrothrix longipilis","Neacomys spinosus",1
"Abrothrix longipilis","Necromys benefactus",1
"Abrothrix longipilis","Necromys lasiurus",1
"Abrothrix longipilis","Necromys obscurus",1
"Abrothrix longipilis","Nectomys squamipes",1
"Abrothrix longipilis","Oligoryzomys chacoensis",1
"Abrothrix longipilis","Oligoryzomys eliurus",1
"Abrothrix longipilis","Oligoryzomys flavescens",1
"Abrothrix longipilis","Oligoryzomys fornesi",1
"Abrothrix longipilis","Oligoryzomys fulvescens",1
"Abrothrix longipilis","Oligoryzomys longicaudatus",1
"Abrothrix longipilis","Oligoryzomys microtis",1
"Abrothrix longipilis","Oligoryzomys nigripes",1
"Abrothrix longipilis","Oxymycterus nasutus",1
"Abrothrix longipilis","Oxymycterus quaestor",1
"Abrothrix longipilis","Oxymycterus rufus",1
"Abrothrix longipilis","Peromyscus maniculatus",1
"Abrothrix longipilis","Phyllotis darwini",1
"Abrothrix longipilis","Rattus norvegicus",1
"Abrothrix longipilis","Rattus rattus",1
"Abrothrix longipilis","Sooretamys angouya",1
"Abrothrix longipilis","Thaptomys nigrita",1
"Abrothrix olivaceus","Abrothrix sanborni",1
"Abrothrix olivaceus","Akodon azarae",1
"Abrothrix olivaceus","Akodon cursor",1
"Abrothrix olivaceus","Akodon montensis",1
"Abrothrix olivaceus","Akodon paranaensis",1
"Abrothrix olivaceus","Akodon serrensis",1
"Abrothrix olivaceus","Akodon varius",1
"Abrothrix olivaceus","Bibimys chacoensis",1
"Abrothrix olivaceus","Calomys tener",1
"Abrothrix olivaceus","Carollia perspicillata",1
"Abrothrix olivaceus","Desmodus rotundus",1
"Abrothrix olivaceus","Graomys griseoflavus",1
"Abrothrix olivaceus","Loxodontomys micropus",1
"Abrothrix olivaceus","Neacomys spinosus",1
"Abrothrix olivaceus","Necromys benefactus",1
"Abrothrix olivaceus","Necromys lasiurus",1
"Abrothrix olivaceus","Necromys obscurus",1
"Abrothrix olivaceus","Nectomys squamipes",1
"Abrothrix olivaceus","Oligoryzomys chacoensis",1
"Abrothrix olivaceus","Oligoryzomys eliurus",1
"Abrothrix olivaceus","Oligoryzomys flavescens",1
"Abrothrix olivaceus","Oligoryzomys fornesi",1
"Abrothrix olivaceus","Oligoryzomys fulvescens",1
"Abrothrix olivaceus","Oligoryzomys longicaudatus",1
"Abrothrix olivaceus","Oligoryzomys microtis",1
"Abrothrix olivaceus","Oligoryzomys nigripes",1
"Abrothrix olivaceus","Oxymycterus nasutus",1
"Abrothrix olivaceus","Oxymycterus quaestor",1
"Abrothrix olivaceus","Oxymycterus rufus",1
"Abrothrix olivaceus","Peromyscus maniculatus",1
"Abrothrix olivaceus","Phyllotis darwini",1
"Abrothrix olivaceus","Rattus norvegicus",1
