"Species1","Species2","n_virus"
"Akodon cursor","Akodon montensis",1
"Akodon cursor","Necromys lasiurus",1
"Akodon cursor","Oligoryzomys nigripes",1
"Akodon cursor","Rattus losea",1
"Akodon cursor","Rattus tanezumi",1
"Akodon cursor","Suncus murinus",1
"Akodon montensis","Necromys lasiurus",1
"Akodon montensis","Oligoryzomys nigripes",1
"Akodon montensis","Rattus losea",1
"Akodon montensis","Rattus tanezumi",1
"Akodon montensis","Suncus murinus",1
"Apodemus sylvaticus","Microtus agrestis",1
"Apodemus sylvaticus","Myodes glareolus",1
"Cervus elaphus","Potamochoerus larvatus",1
"Cervus elaphus","Sus scrofa",1
"Microtus agrestis","Myodes glareolus",1
"Necromys lasiurus","Oligoryzomys nigripes",1
"Necromys lasiurus","Rattus losea",1
"Necromys lasiurus","Rattus tanezumi",1
"Necromys lasiurus","Suncus murinus",1
"Oligoryzomys nigripes","Rattus losea",1
"Oligoryzomys nigripes","Rattus tanezumi",1
"Oligoryzomys nigripes","Suncus murinus",1
"Potamochoerus larvatus","Sus scrofa",2
"Rattus losea","Rattus tanezumi",1
"Rattus losea","Suncus murinus",1
"Rattus tanezumi","Suncus murinus",1
