"Species1","Species2","n_virus"
"Cercopithecus ascanius","Chlorocebus aethiops",1
"Cercopithecus ascanius","Chlorocebus pygerythrus",1
"Cercopithecus ascanius","Erythrocebus patas",1
"Cercopithecus ascanius","Piliocolobus badius",1
"Cercopithecus ascanius","Piliocolobus rufomitratus",1
"Chlorocebus aethiops","Chlorocebus pygerythrus",1
"Chlorocebus aethiops","Erythrocebus patas",1
"Chlorocebus aethiops","Piliocolobus badius",1
"Chlorocebus aethiops","Piliocolobus rufomitratus",1
"Chlorocebus pygerythrus","Erythrocebus patas",1
"Chlorocebus pygerythrus","Piliocolobus badius",1
"Chlorocebus pygerythrus","Piliocolobus rufomitratus",1
"Cricetulus longicaudatus","Dipus sagitta",1
"Cricetulus longicaudatus","Myodes rufocanus",1
"Dipus sagitta","Myodes rufocanus",1
"Erythrocebus patas","Piliocolobus badius",1
"Erythrocebus patas","Piliocolobus rufomitratus",1
"Piliocolobus badius","Piliocolobus rufomitratus",1
"Piliocolobus badius","Piliocolobus tephrosceles",1
