"Species1","Species2","n_virus"
"Acerodon celebensis","Akodon cursor",1
"Acerodon celebensis","Anoura caudifer",1
"Acerodon celebensis","Apodemus sylvaticus",1
"Acerodon celebensis","Artibeus lituratus",1
"Acerodon celebensis","Balionycteris maculata",1
"Acerodon celebensis","Bandicota bengalensis",1
"Acerodon celebensis","Carollia perspicillata",1
"Acerodon celebensis","Chaerephon pumilus",1
"Acerodon celebensis","Coleura afra",1
"Acerodon celebensis","Cricetomys gambianus",1
"Acerodon celebensis","Crocidura attenuata",1
"Acerodon celebensis","Crocidura goliath",1
"Acerodon celebensis","Eidolon helvum",1
"Acerodon celebensis","Eonycteris spelaea",1
"Acerodon celebensis","Eothenomys cachinus",1
"Acerodon celebensis","Heimyscus fumosus",1
"Acerodon celebensis","Hipposideros armiger",1
"Acerodon celebensis","Hipposideros caffer",1
"Acerodon celebensis","Hipposideros larvatus",1
"Acerodon celebensis","Hipposideros lekaguli",1
"Acerodon celebensis","Hipposideros pomona",1
"Acerodon celebensis","Hipposideros ruber",1
"Acerodon celebensis","Hylomyscus stella",1
"Acerodon celebensis","Hystrix brachyura",1
"Acerodon celebensis","Leopoldamys sabanus",1
"Acerodon celebensis","Lissonycteris angolensis",1
"Acerodon celebensis","Lyroderma lyra",1
"Acerodon celebensis","Macaca leonina",1
"Acerodon celebensis","Macaca nemestrina",1
"Acerodon celebensis","Macronycteris commersoni",1
"Acerodon celebensis","Malacomys longipes",1
"Acerodon celebensis","Marmota himalayana",1
"Acerodon celebensis","Mastomys natalensis",1
"Acerodon celebensis","Miniopterus inflatus",1
"Acerodon celebensis","Miniopterus magnater",1
"Acerodon celebensis","Miniopterus pusillus",1
"Acerodon celebensis","Miniopterus schreibersii",1
"Acerodon celebensis","Mus musculoides",1
"Acerodon celebensis","Myotis horsfieldii",1
"Acerodon celebensis","Myotis pilosus",1
"Acerodon celebensis","Niviventer eha",1
"Acerodon celebensis","Nycteris hispida",1
"Acerodon celebensis","Ochotona thibetana",1
"Acerodon celebensis","Pipistrellus kuhlii",1
"Acerodon celebensis","Praomys tullbergi",1
"Acerodon celebensis","Pteropus alecto",2
"Acerodon celebensis","Pteropus giganteus",1
"Acerodon celebensis","Rattus argentiventer",1
"Acerodon celebensis","Rattus exulans",1
"Acerodon celebensis","Rattus losea",1
"Acerodon celebensis","Rattus rattus",1
"Acerodon celebensis","Rhinolophus affinis",1
"Acerodon celebensis","Rhinolophus coelophyllus",1
"Acerodon celebensis","Rhinolophus lepidus",1
"Acerodon celebensis","Rhinolophus pusillus",1
"Acerodon celebensis","Rhinolophus shameli",1
"Acerodon celebensis","Rhinosciurus laticaudatus",1
"Acerodon celebensis","Rhizomys pruinosus",1
"Acerodon celebensis","Rhizomys sinensis",1
"Acerodon celebensis","Rousettus amplexicaudatus",1
"Acerodon celebensis","Rousettus leschenaultii",1
"Acerodon celebensis","Scotophilus kuhlii",1
"Acerodon celebensis","Sturnira lilium",1
"Acerodon celebensis","Taphozous melanopogon",1
"Acerodon celebensis","Triaenops afer",1
"Acerodon celebensis","Triaenops persicus",1
"Acerodon celebensis","Tylonycteris pachypus",1
"Akodon cursor","Anoura caudifer",1
"Akodon cursor","Apodemus sylvaticus",1
"Akodon cursor","Artibeus lituratus",1
"Akodon cursor","Balionycteris maculata",1
"Akodon cursor","Bandicota bengalensis",1
"Akodon cursor","Carollia perspicillata",1
"Akodon cursor","Chaerephon pumilus",1
"Akodon cursor","Coleura afra",1
"Akodon cursor","Cricetomys gambianus",1
"Akodon cursor","Crocidura attenuata",1
"Akodon cursor","Crocidura goliath",1
"Akodon cursor","Eidolon helvum",1
"Akodon cursor","Eonycteris spelaea",1
"Akodon cursor","Eothenomys cachinus",1
"Akodon cursor","Heimyscus fumosus",1
"Akodon cursor","Hipposideros armiger",1
"Akodon cursor","Hipposideros caffer",1
"Akodon cursor","Hipposideros larvatus",1
"Akodon cursor","Hipposideros lekaguli",1
"Akodon cursor","Hipposideros pomona",1
"Akodon cursor","Hipposideros ruber",1
"Akodon cursor","Hylomyscus stella",1
"Akodon cursor","Hystrix brachyura",1
"Akodon cursor","Leopoldamys sabanus",1
"Akodon cursor","Lissonycteris angolensis",1
"Akodon cursor","Lyroderma lyra",1
"Akodon cursor","Macaca leonina",1
"Akodon cursor","Macaca nemestrina",1
"Akodon cursor","Macronycteris commersoni",1
"Akodon cursor","Malacomys longipes",1
"Akodon cursor","Marmota himalayana",1
"Akodon cursor","Mastomys natalensis",1
"Akodon cursor","Miniopterus inflatus",1
"Akodon cursor","Miniopterus magnater",1
"Akodon cursor","Miniopterus pusillus",1
"Akodon cursor","Miniopterus schreibersii",1
"Akodon cursor","Mus musculoides",1
"Akodon cursor","Myotis horsfieldii",1
"Akodon cursor","Myotis pilosus",1
"Akodon cursor","Niviventer eha",1
"Akodon cursor","Nycteris hispida",1
