"Species1","Species2","n_virus"
"Acinonyx jubatus","Caracal caracal",1
"Acinonyx jubatus","Crocuta crocuta",1
"Acinonyx jubatus","Felis silvestris",1
"Acinonyx jubatus","Herpailurus yagouaroundi",1
"Acinonyx jubatus","Leopardus geoffroyi",1
"Acinonyx jubatus","Leopardus pardalis",1
"Acinonyx jubatus","Leopardus tigrinus",1
"Acinonyx jubatus","Leopardus wiedii",1
"Acinonyx jubatus","Lontra canadensis",1
"Acinonyx jubatus","Lynx canadensis",1
"Acinonyx jubatus","Lynx pardinus",1
"Acinonyx jubatus","Lynx rufus",1
"Acinonyx jubatus","Mustela erminea",1
"Acinonyx jubatus","Panthera leo",1
"Acinonyx jubatus","Panthera pardus",1
"Acinonyx jubatus","Panthera tigris",1
"Acinonyx jubatus","Prionailurus bengalensis",1
"Acinonyx jubatus","Puma concolor",1
"Acinonyx jubatus","Ursus maritimus",1
"Apodemus agrarius","Apodemus speciosus",1
"Apodemus agrarius","Apodemus sylvaticus",1
"Apodemus agrarius","Avahi laniger",1
"Apodemus agrarius","Canis lupus",1
"Apodemus agrarius","Eulemur fulvus",1
"Apodemus agrarius","Eulemur rubriventer",1
"Apodemus agrarius","Hapalemur aureus",1
"Apodemus agrarius","Microcebus rufus",1
"Apodemus agrarius","Mus musculus",1
"Apodemus agrarius","Nyctereutes procyonoides",1
"Apodemus agrarius","Panthera leo",1
"Apodemus agrarius","Panthera onca",1
"Apodemus agrarius","Prolemur simus",1
"Apodemus agrarius","Propithecus diadema",1
"Apodemus agrarius","Rattus norvegicus",1
"Apodemus agrarius","Rattus rattus",1
"Apodemus agrarius","Rhinolophus affinis",1
"Apodemus agrarius","Rhinolophus sinicus",1
"Apodemus agrarius","Zalophus californianus",1
"Apodemus speciosus","Apodemus sylvaticus",1
"Apodemus speciosus","Avahi laniger",1
"Apodemus speciosus","Canis lupus",1
"Apodemus speciosus","Eulemur fulvus",1
"Apodemus speciosus","Eulemur rubriventer",1
"Apodemus speciosus","Hapalemur aureus",1
"Apodemus speciosus","Microcebus rufus",1
"Apodemus speciosus","Mus musculus",1
"Apodemus speciosus","Nyctereutes procyonoides",1
"Apodemus speciosus","Panthera leo",1
"Apodemus speciosus","Panthera onca",1
"Apodemus speciosus","Prolemur simus",1
"Apodemus speciosus","Propithecus diadema",1
"Apodemus speciosus","Rattus norvegicus",1
"Apodemus speciosus","Rattus rattus",1
"Apodemus speciosus","Rhinolophus affinis",1
"Apodemus speciosus","Rhinolophus sinicus",1
"Apodemus speciosus","Zalophus californianus",1
"Apodemus sylvaticus","Avahi laniger",1
"Apodemus sylvaticus","Canis lupus",1
"Apodemus sylvaticus","Eulemur fulvus",1
"Apodemus sylvaticus","Eulemur rubriventer",1
"Apodemus sylvaticus","Hapalemur aureus",1
"Apodemus sylvaticus","Microcebus rufus",1
"Apodemus sylvaticus","Mus musculus",1
