"Species1","Species2","n_virus"
"Allactaga sibirica","Apodemus chevrieri",1
"Allactaga sibirica","Apodemus draco",1
"Allactaga sibirica","Bandicota indica",1
"Allactaga sibirica","Cricetulus barabensis",1
"Allactaga sibirica","Dipus sagitta",1
"Allactaga sibirica","Microtus clarkei",1
"Allactaga sibirica","Niviventer eha",1
"Allactaga sibirica","Niviventer fulvescens",1
"Allactaga sibirica","Rattus tanezumi",1
"Apodemus chevrieri","Apodemus draco",1
"Apodemus chevrieri","Bandicota indica",1
"Apodemus chevrieri","Cricetulus barabensis",1
"Apodemus chevrieri","Dipus sagitta",1
"Apodemus chevrieri","Microtus clarkei",1
"Apodemus chevrieri","Niviventer eha",1
"Apodemus chevrieri","Niviventer fulvescens",1
"Apodemus chevrieri","Rattus tanezumi",1
"Apodemus draco","Bandicota indica",1
"Apodemus draco","Cricetulus barabensis",1
"Apodemus draco","Dipus sagitta",1
"Apodemus draco","Microtus clarkei",1
"Apodemus draco","Niviventer eha",1
"Apodemus draco","Niviventer fulvescens",1
"Apodemus draco","Rattus tanezumi",1
"Bandicota indica","Cricetulus barabensis",1
"Bandicota indica","Dipus sagitta",1
"Bandicota indica","Microtus clarkei",1
"Bandicota indica","Niviventer eha",1
"Bandicota indica","Niviventer fulvescens",1
"Bandicota indica","Rattus tanezumi",1
"Cervus elaphus","Dama dama",1
"Cervus elaphus","Rupicapra rupicapra",1
"Cricetulus barabensis","Dipus sagitta",1
"Cricetulus barabensis","Microtus clarkei",1
"Cricetulus barabensis","Niviventer eha",1
"Cricetulus barabensis","Niviventer fulvescens",1
"Cricetulus barabensis","Rattus tanezumi",1
"Crocidura hirta","Crocidura luna",1
"Crocidura hirta","Mastomys natalensis",1
"Crocidura luna","Mastomys natalensis",1
"Dama dama","Rupicapra rupicapra",1
"Dipus sagitta","Microtus clarkei",1
"Dipus sagitta","Niviventer eha",1
"Dipus sagitta","Niviventer fulvescens",1
"Dipus sagitta","Rattus tanezumi",1
"Eptesicus serotinus","Hipposideros armiger",1
"Eptesicus serotinus","Miniopterus schreibersii",1
"Eptesicus serotinus","Murina leucogaster",1
"Eptesicus serotinus","Myotis blythii",1
"Eptesicus serotinus","Myotis fimbriatus",1
"Eptesicus serotinus","Myotis pequinius",1
"Eptesicus serotinus","Myotis pilosus",1
"Eptesicus serotinus","Pipistrellus pipistrellus",1
"Eptesicus serotinus","Plecotus auritus",1
"Eptesicus serotinus","Rhinolophus affinis",1
"Eptesicus serotinus","Rhinolophus ferrumequinum",1
"Eptesicus serotinus","Rhinolophus hipposideros",1
"Eptesicus serotinus","Rhinolophus pusillus",1
"Eptesicus serotinus","Rhinolophus sinicus",1
"Eptesicus serotinus","Tylonycteris pachypus",1
"Eptesicus serotinus","Vespertilio sinensis",1
"Hipposideros armiger","Miniopterus schreibersii",1
"Hipposideros armiger","Murina leucogaster",1
"Hipposideros armiger","Myotis blythii",1
"Hipposideros armiger","Myotis fimbriatus",1
"Hipposideros armiger","Myotis pequinius",1
"Hipposideros armiger","Myotis pilosus",1
"Hipposideros armiger","Pipistrellus pipistrellus",1
"Hipposideros armiger","Plecotus auritus",1
"Hipposideros armiger","Rhinolophus affinis",1
"Hipposideros armiger","Rhinolophus ferrumequinum",1
"Hipposideros armiger","Rhinolophus hipposideros",1
"Hipposideros armiger","Rhinolophus pusillus",1
"Hipposideros armiger","Rhinolophus sinicus",1
"Hipposideros armiger","Tylonycteris pachypus",1
"Hipposideros armiger","Vespertilio sinensis",1
"Hipposideros armiger","Mandrillus leucophaeus",1
"Meles meles","Vulpes lagopus",1
"Meles meles","Vulpes vulpes",1
"Microtus clarkei","Niviventer eha",1
"Microtus clarkei","Niviventer fulvescens",1
"Microtus clarkei","Rattus tanezumi",1
"Miniopterus schreibersii","Murina leucogaster",1
"Miniopterus schreibersii","Myotis blythii",1
"Miniopterus schreibersii","Myotis fimbriatus",1
"Miniopterus schreibersii","Myotis pequinius",1
"Miniopterus schreibersii","Myotis pilosus",1
"Miniopterus schreibersii","Pipistrellus pipistrellus",1
"Miniopterus schreibersii","Plecotus auritus",1
"Miniopterus schreibersii","Rhinolophus affinis",1
"Miniopterus schreibersii","Rhinolophus ferrumequinum",1
"Miniopterus schreibersii","Rhinolophus hipposideros",1
"Miniopterus schreibersii","Rhinolophus pusillus",2
"Miniopterus schreibersii","Rhinolophus sinicus",1
"Miniopterus schreibersii","Tylonycteris pachypus",1
"Miniopterus schreibersii","Vespertilio sinensis",1
"Miniopterus schreibersii","Rhinolophus luctus",1
"Miniopterus schreibersii","Rousettus leschenaultii",1
"Molossus molossus","Tadarida brasiliensis",2
"Murina leucogaster","Myotis blythii",1
"Murina leucogaster","Myotis fimbriatus",1
"Murina leucogaster","Myotis pequinius",1
"Murina leucogaster","Myotis pilosus",1
"Murina leucogaster","Pipistrellus pipistrellus",1
"Murina leucogaster","Plecotus auritus",1
"Murina leucogaster","Rhinolophus affinis",1
"Murina leucogaster","Rhinolophus ferrumequinum",1
"Murina leucogaster","Rhinolophus hipposideros",1
"Murina leucogaster","Rhinolophus pusillus",1
"Murina leucogaster","Rhinolophus sinicus",1
"Murina leucogaster","Tylonycteris pachypus",1
"Murina leucogaster","Vespertilio sinensis",1
"Mustela lutreola","Neovison vison",1
"Mustela lutreola","Nyctereutes procyonoides",1
"Mustela lutreola","Pecari tajacu",1
"Mustela lutreola","Tayassu pecari",1
"Myotis alcathoe","Myotis davidii",1
"Myotis alcathoe","Myotis emarginatus",1
"Myotis alcathoe","Myotis nattereri",1
"Myotis alcathoe","Nyctalus noctula",1
"Myotis alcathoe","Pipistrellus nathusii",1
"Myotis alcathoe","Plecotus auritus",1
"Myotis alcathoe","Rhinolophus pusillus",1
"Myotis alcathoe","Sapajus nigritus",1
"Myotis blythii","Myotis fimbriatus",1
"Myotis blythii","Myotis pequinius",1
"Myotis blythii","Myotis pilosus",1
"Myotis blythii","Pipistrellus pipistrellus",1
"Myotis blythii","Plecotus auritus",1
"Myotis blythii","Rhinolophus affinis",1
"Myotis blythii","Rhinolophus ferrumequinum",1
"Myotis blythii","Rhinolophus hipposideros",1
"Myotis blythii","Rhinolophus pusillus",1
"Myotis blythii","Rhinolophus sinicus",1
"Myotis blythii","Tylonycteris pachypus",1
"Myotis blythii","Vespertilio sinensis",1
"Myotis davidii","Myotis emarginatus",1
"Myotis davidii","Myotis nattereri",1
"Myotis davidii","Nyctalus noctula",1
"Myotis davidii","Pipistrellus nathusii",1
"Myotis davidii","Plecotus auritus",1
"Myotis davidii","Rhinolophus pusillus",1
"Myotis davidii","Sapajus nigritus",1
"Myotis emarginatus","Myotis nattereri",1
"Myotis emarginatus","Nyctalus noctula",1
"Myotis emarginatus","Pipistrellus nathusii",1
"Myotis emarginatus","Plecotus auritus",1
"Myotis emarginatus","Rhinolophus pusillus",1
"Myotis emarginatus","Sapajus nigritus",1
"Myotis fimbriatus","Myotis pequinius",1
"Myotis fimbriatus","Myotis pilosus",1
"Myotis fimbriatus","Pipistrellus pipistrellus",1
"Myotis fimbriatus","Plecotus auritus",1
"Myotis fimbriatus","Rhinolophus affinis",1
"Myotis fimbriatus","Rhinolophus ferrumequinum",1
"Myotis fimbriatus","Rhinolophus hipposideros",1
"Myotis fimbriatus","Rhinolophus pusillus",1
"Myotis fimbriatus","Rhinolophus sinicus",1
"Myotis fimbriatus","Tylonycteris pachypus",1
"Myotis fimbriatus","Vespertilio sinensis",1
"Myotis frater","Myotis macrodactylus",1
"Myotis frater","Myotis myotis",1
"Myotis frater","Plecotus auritus",1
"Myotis frater","Rhinolophus hipposideros",1
"Myotis frater","Vespertilio murinus",1
"Myotis macrodactylus","Myotis myotis",1
"Myotis macrodactylus","Plecotus auritus",1
"Myotis macrodactylus","Rhinolophus hipposideros",1
"Myotis macrodactylus","Vespertilio murinus",1
"Myotis myotis","Plecotus auritus",1
"Myotis myotis","Rhinolophus hipposideros",1
"Myotis myotis","Vespertilio murinus",1
"Myotis nattereri","Nyctalus noctula",1
"Myotis nattereri","Pipistrellus nathusii",1
"Myotis nattereri","Plecotus auritus",1
"Myotis nattereri","Rhinolophus pusillus",1
"Myotis nattereri","Sapajus nigritus",1
"Myotis pequinius","Myotis pilosus",1
"Myotis pequinius","Pipistrellus pipistrellus",1
"Myotis pequinius","Plecotus auritus",1
"Myotis pequinius","Rhinolophus affinis",1
"Myotis pequinius","Rhinolophus ferrumequinum",1
"Myotis pequinius","Rhinolophus hipposideros",1
"Myotis pequinius","Rhinolophus pusillus",1
"Myotis pequinius","Rhinolophus sinicus",1
"Myotis pequinius","Tylonycteris pachypus",1
