"Species1","Species2","n_virus"
"Acerodon celebensis","Eidolon helvum",1
"Acerodon celebensis","Eonycteris spelaea",1
"Acerodon celebensis","Hipposideros larvatus",1
"Acerodon celebensis","Mops condylurus",1
"Acerodon celebensis","Pteropus alecto",1
"Acerodon celebensis","Rhinolophus euryale",1
"Acerodon celebensis","Rhinopoma hardwickii",1
"Acerodon celebensis","Rousettus aegyptiacus",1
"Acerodon celebensis","Rousettus amplexicaudatus",1
"Acerodon celebensis","Rousettus leschenaultii",1
"Acinonyx jubatus","Ailuropoda melanoleuca",1
"Acinonyx jubatus","Canis latrans",1
"Acinonyx jubatus","Canis lupus",1
"Acinonyx jubatus","Canis mesomelas",1
"Acinonyx jubatus","Caracal caracal",1
"Acinonyx jubatus","Cerdocyon thous",1
"Acinonyx jubatus","Chrysocyon brachyurus",1
"Acinonyx jubatus","Crocuta crocuta",1
"Acinonyx jubatus","Felis silvestris",1
"Acinonyx jubatus","Herpailurus yagouaroundi",1
"Acinonyx jubatus","Leopardus geoffroyi",1
"Acinonyx jubatus","Leopardus pardalis",1
"Acinonyx jubatus","Leopardus tigrinus",1
"Acinonyx jubatus","Leopardus wiedii",1
"Acinonyx jubatus","Lycalopex gymnocercus",1
"Acinonyx jubatus","Lycaon pictus",1
"Acinonyx jubatus","Lynx canadensis",1
"Acinonyx jubatus","Lynx lynx",1
"Acinonyx jubatus","Lynx pardinus",1
"Acinonyx jubatus","Lynx rufus",1
"Acinonyx jubatus","Martes pennanti",1
"Acinonyx jubatus","Melogale moschata",1
"Acinonyx jubatus","Nyctereutes procyonoides",1
"Acinonyx jubatus","Panthera leo",1
"Acinonyx jubatus","Panthera tigris",1
"Acinonyx jubatus","Prionailurus bengalensis",1
"Acinonyx jubatus","Procyon lotor",1
"Acinonyx jubatus","Pteropus giganteus",1
"Acinonyx jubatus","Puma concolor",1
"Acinonyx jubatus","Sus scrofa",1
"Acinonyx jubatus","Urocyon littoralis",1
"Acinonyx jubatus","Ursus americanus",1
"Acinonyx jubatus","Ursus arctos",1
"Acinonyx jubatus","Ursus maritimus",1
"Acinonyx jubatus","Vulpes vulpes",1
"Ailuropoda melanoleuca","Canis latrans",1
"Ailuropoda melanoleuca","Canis lupus",1
"Ailuropoda melanoleuca","Canis mesomelas",1
"Ailuropoda melanoleuca","Caracal caracal",1
"Ailuropoda melanoleuca","Cerdocyon thous",1
"Ailuropoda melanoleuca","Chrysocyon brachyurus",1
"Ailuropoda melanoleuca","Crocuta crocuta",1
"Ailuropoda melanoleuca","Felis silvestris",1
"Ailuropoda melanoleuca","Herpailurus yagouaroundi",1
"Ailuropoda melanoleuca","Leopardus geoffroyi",1
"Ailuropoda melanoleuca","Leopardus pardalis",1
"Ailuropoda melanoleuca","Leopardus tigrinus",1
"Ailuropoda melanoleuca","Leopardus wiedii",1
"Ailuropoda melanoleuca","Lycalopex gymnocercus",1
"Ailuropoda melanoleuca","Lycaon pictus",1
"Ailuropoda melanoleuca","Lynx canadensis",2
"Ailuropoda melanoleuca","Lynx lynx",1
"Ailuropoda melanoleuca","Lynx pardinus",1
"Ailuropoda melanoleuca","Lynx rufus",1
"Ailuropoda melanoleuca","Martes pennanti",1
"Ailuropoda melanoleuca","Melogale moschata",2
"Ailuropoda melanoleuca","Nyctereutes procyonoides",2
"Ailuropoda melanoleuca","Panthera leo",2
"Ailuropoda melanoleuca","Panthera tigris",2
"Ailuropoda melanoleuca","Prionailurus bengalensis",1
"Ailuropoda melanoleuca","Procyon lotor",1
"Ailuropoda melanoleuca","Pteropus giganteus",1
"Ailuropoda melanoleuca","Puma concolor",2
"Ailuropoda melanoleuca","Sus scrofa",2
"Ailuropoda melanoleuca","Urocyon littoralis",1
"Ailuropoda melanoleuca","Ursus americanus",1
"Ailuropoda melanoleuca","Ursus arctos",2
"Ailuropoda melanoleuca","Ursus maritimus",1
"Ailuropoda melanoleuca","Vulpes vulpes",2
"Ailuropoda melanoleuca","Arctonyx collaris",1
"Ailuropoda melanoleuca","Aselliscus stoliczkanus",1
"Ailuropoda melanoleuca","Bos mutus",1
"Ailuropoda melanoleuca","Ceratotherium simum",1
"Ailuropoda melanoleuca","Chaerephon plicatus",1
"Ailuropoda melanoleuca","Chlorocebus sabaeus",1
"Ailuropoda melanoleuca","Cricetulus barabensis",1
"Ailuropoda melanoleuca","Eumetopias jubatus",1
"Ailuropoda melanoleuca","Gorilla gorilla",1
"Ailuropoda melanoleuca","Hipposideros armiger",1
"Ailuropoda melanoleuca","Hipposideros pomona",1
"Ailuropoda melanoleuca","Hipposideros pratti",1
"Ailuropoda melanoleuca","Ictidomys tridecemlineatus",1
"Ailuropoda melanoleuca","Jaculus jaculus",1
"Ailuropoda melanoleuca","Manis javanica",1
"Ailuropoda melanoleuca","Miniopterus schreibersii",1
"Ailuropoda melanoleuca","Mustela erminea",1
"Ailuropoda melanoleuca","Mustela lutreola",1
"Ailuropoda melanoleuca","Mustela putorius",1
"Ailuropoda melanoleuca","Myotis formosus",1
"Ailuropoda melanoleuca","Neomonachus schauinslandi",1
"Ailuropoda melanoleuca","Neovison vison",1
"Ailuropoda melanoleuca","Nomascus leucogenys",1
"Ailuropoda melanoleuca","Nyctalus leisleri",1
"Ailuropoda melanoleuca","Paguma larvata",1
"Ailuropoda melanoleuca","Panthera pardus",1
