"Species1","Species2","n_virus"
"Acomys cahirinus","Acomys dimidiatus",1
"Acomys cahirinus","Aethomys kaiseri",1
"Acomys cahirinus","Ailurus fulgens",1
"Acomys cahirinus","Alouatta caraya",1
"Acomys cahirinus","Apodemus sylvaticus",1
"Acomys cahirinus","Artibeus jamaicensis",1
"Acomys cahirinus","Arvicanthis niloticus",1
"Acomys cahirinus","Ateles geoffroyi",1
"Acomys cahirinus","Babyrousa babyrussa",1
"Acomys cahirinus","Canis latrans",1
"Acomys cahirinus","Capreolus capreolus",1
"Acomys cahirinus","Cercocebus atys",1
"Acomys cahirinus","Cercopithecus nictitans",1
"Acomys cahirinus","Cervus elaphus",1
"Acomys cahirinus","Chaerephon pumilus",1
"Acomys cahirinus","Choloepus hoffmanni",1
"Acomys cahirinus","Crocidura olivieri",1
"Acomys cahirinus","Crocidura russula",1
"Acomys cahirinus","Crocidura zaphiri",1
"Acomys cahirinus","Ctenodactylus gundi",1
"Acomys cahirinus","Dama dama",1
"Acomys cahirinus","Dasymys incomtus",1
"Acomys cahirinus","Didelphis virginiana",1
"Acomys cahirinus","Eidolon helvum",1
"Acomys cahirinus","Elephas maximus",1
"Acomys cahirinus","Eliomys munbyanus",1
"Acomys cahirinus","Eptesicus fuscus",1
"Acomys cahirinus","Erythrocebus patas",1
"Acomys cahirinus","Eulemur fulvus",1
"Acomys cahirinus","Galagoides demidoff",1
"Acomys cahirinus","Gerbillus dasyurus",1
"Acomys cahirinus","Gerbillus pyramidum",1
"Acomys cahirinus","Giraffa camelopardalis",1
"Acomys cahirinus","Lemur catta",1
"Acomys cahirinus","Lepilemur edwardsi",1
"Acomys cahirinus","Lepilemur mustelinus",1
"Acomys cahirinus","Lepus californicus",1
"Acomys cahirinus","Lepus europaeus",1
"Acomys cahirinus","Lissonycteris angolensis",1
"Acomys cahirinus","Lophuromys sikapusi",1
"Acomys cahirinus","Loxodonta africana",1
"Acomys cahirinus","Lynx rufus",1
"Acomys cahirinus","Macaca fuscata",1
"Acomys cahirinus","Macaca nemestrina",1
"Acomys cahirinus","Macaca sinica",1
"Acomys cahirinus","Macaca sylvanus",1
"Acomys cahirinus","Mandrillus sphinx",1
"Acomys cahirinus","Marmota monax",1
"Acomys cahirinus","Mephitis mephitis",1
"Acomys cahirinus","Meriones hurrianae",1
"Acomys cahirinus","Mesocricetus auratus",1
"Acomys cahirinus","Microtus arvalis",1
"Acomys cahirinus","Microtus guentheri",1
"Acomys cahirinus","Millardia meltada",1
"Acomys cahirinus","Mops condylurus",1
"Acomys cahirinus","Mus musculus",1
"Acomys cahirinus","Myodes glareolus",1
"Acomys cahirinus","Myotis lucifugus",1
"Acomys cahirinus","Myotis septentrionalis",1
"Acomys cahirinus","Nyctophilus arnhemensis",1
"Acomys cahirinus","Odocoileus virginianus",1
"Acomys cahirinus","Oreamnos americanus",1
"Acomys cahirinus","Pan troglodytes",1
"Acomys cahirinus","Panthera leo",1
"Acomys cahirinus","Panthera tigris",1
"Acomys cahirinus","Panthera uncia",1
"Acomys cahirinus","Perodicticus potto",1
"Acomys cahirinus","Peromyscus leucopus",1
"Acomys cahirinus","Phoca vitulina",1
"Acomys cahirinus","Pipistrellus hesperidus",1
"Acomys cahirinus","Pipistrellus kuhlii",1
"Acomys cahirinus","Procyon lotor",1
"Acomys cahirinus","Propithecus coquereli",1
