"Species1","Species2","n_virus"
"Anourosorex squamipes","Crocidura attenuata",1
"Anourosorex squamipes","Crocidura lasiura",1
"Ateles belzebuth","Cercopithecus ascanius",1
"Ateles belzebuth","Cercopithecus mitis",1
"Ateles belzebuth","Crocidura grandiceps",1
"Ateles belzebuth","Crocidura olivieri",1
"Ateles belzebuth","Gorilla beringei",1
"Ateles belzebuth","Gorilla gorilla",1
"Ateles belzebuth","Hipposideros armiger",1
"Ateles belzebuth","Hylobates agilis",1
"Ateles belzebuth","Hylobates albibarbis",1
"Ateles belzebuth","Hylobates lar",1
"Ateles belzebuth","Hylobates moloch",1
"Ateles belzebuth","Hylobates muelleri",1
"Ateles belzebuth","Hylobates pileatus",1
"Ateles belzebuth","Lagothrix lagothricha",1
"Ateles belzebuth","Miniopterus schreibersii",1
"Ateles belzebuth","Myotis chinensis",1
"Ateles belzebuth","Myotis davidii",1
"Ateles belzebuth","Nomascus gabriellae",1
"Ateles belzebuth","Nomascus leucogenys",1
"Ateles belzebuth","Pan troglodytes",1
"Ateles belzebuth","Papio ursinus",1
"Ateles belzebuth","Platyrrhinus lineatus",1
"Ateles belzebuth","Pongo abelii",1
"Ateles belzebuth","Pongo pygmaeus",1
"Ateles belzebuth","Rattus losea",1
"Ateles belzebuth","Rhinolophus alcyone",1
"Ateles belzebuth","Rhinolophus ferrumequinum",1
"Ateles belzebuth","Rhinolophus luctus",1
"Ateles belzebuth","Rhinolophus pearsonii",1
"Ateles belzebuth","Rhinolophus pusillus",1
"Ateles belzebuth","Rhinolophus sinicus",1
"Ateles belzebuth","Sorex araneus",1
"Ateles belzebuth","Sorex coronatus",1
"Ateles belzebuth","Uroderma bilobatum",1
"Cercopithecus ascanius","Cercopithecus mitis",1
"Cercopithecus ascanius","Crocidura grandiceps",1
"Cercopithecus ascanius","Crocidura olivieri",1
"Cercopithecus ascanius","Gorilla beringei",1
"Cercopithecus ascanius","Gorilla gorilla",1
"Cercopithecus ascanius","Hipposideros armiger",1
"Cercopithecus ascanius","Hylobates agilis",1
"Cercopithecus ascanius","Hylobates albibarbis",1
"Cercopithecus ascanius","Hylobates lar",1
"Cercopithecus ascanius","Hylobates moloch",1
"Cercopithecus ascanius","Hylobates muelleri",1
"Cercopithecus ascanius","Hylobates pileatus",1
"Cercopithecus ascanius","Lagothrix lagothricha",1
"Cercopithecus ascanius","Miniopterus schreibersii",1
"Cercopithecus ascanius","Myotis chinensis",1
"Cercopithecus ascanius","Myotis davidii",1
"Cercopithecus ascanius","Nomascus gabriellae",1
"Cercopithecus ascanius","Nomascus leucogenys",1
"Cercopithecus ascanius","Pan troglodytes",1
"Cercopithecus ascanius","Papio ursinus",1
"Cercopithecus ascanius","Platyrrhinus lineatus",1
"Cercopithecus ascanius","Pongo abelii",1
"Cercopithecus ascanius","Pongo pygmaeus",1
"Cercopithecus ascanius","Rattus losea",1
"Cercopithecus ascanius","Rhinolophus alcyone",1
"Cercopithecus ascanius","Rhinolophus ferrumequinum",1
"Cercopithecus ascanius","Rhinolophus luctus",1
"Cercopithecus ascanius","Rhinolophus pearsonii",1
"Cercopithecus ascanius","Rhinolophus pusillus",1
"Cercopithecus ascanius","Rhinolophus sinicus",1
"Cercopithecus ascanius","Sorex araneus",1
"Cercopithecus ascanius","Sorex coronatus",1
"Cercopithecus ascanius","Uroderma bilobatum",1
"Cercopithecus mitis","Crocidura grandiceps",1
"Cercopithecus mitis","Crocidura olivieri",1
"Cercopithecus mitis","Gorilla beringei",1
"Cercopithecus mitis","Gorilla gorilla",1
"Cercopithecus mitis","Hipposideros armiger",1
"Cercopithecus mitis","Hylobates agilis",1
"Cercopithecus mitis","Hylobates albibarbis",1
"Cercopithecus mitis","Hylobates lar",1
"Cercopithecus mitis","Hylobates moloch",1
"Cercopithecus mitis","Hylobates muelleri",1
"Cercopithecus mitis","Hylobates pileatus",1
"Cercopithecus mitis","Lagothrix lagothricha",1
"Cercopithecus mitis","Miniopterus schreibersii",1
"Cercopithecus mitis","Myotis chinensis",1
"Cercopithecus mitis","Myotis davidii",1
"Cercopithecus mitis","Nomascus gabriellae",1
"Cercopithecus mitis","Nomascus leucogenys",1
"Cercopithecus mitis","Pan troglodytes",1
"Cercopithecus mitis","Papio ursinus",1
"Cercopithecus mitis","Platyrrhinus lineatus",1
"Cercopithecus mitis","Pongo abelii",1
"Cercopithecus mitis","Pongo pygmaeus",1
"Cercopithecus mitis","Rattus losea",1
"Cercopithecus mitis","Rhinolophus alcyone",1
"Cercopithecus mitis","Rhinolophus ferrumequinum",1
"Cercopithecus mitis","Rhinolophus luctus",1
"Cercopithecus mitis","Rhinolophus pearsonii",1
"Cercopithecus mitis","Rhinolophus pusillus",1
"Cercopithecus mitis","Rhinolophus sinicus",1
"Cercopithecus mitis","Sorex araneus",1
"Cercopithecus mitis","Sorex coronatus",1
"Cercopithecus mitis","Uroderma bilobatum",1
"Crocidura attenuata","Crocidura lasiura",1
"Crocidura grandiceps","Crocidura olivieri",1
"Crocidura grandiceps","Gorilla beringei",1
"Crocidura grandiceps","Gorilla gorilla",1
"Crocidura grandiceps","Hipposideros armiger",1
"Crocidura grandiceps","Hylobates agilis",1
"Crocidura grandiceps","Hylobates albibarbis",1
"Crocidura grandiceps","Hylobates lar",1
"Crocidura grandiceps","Hylobates moloch",1
"Crocidura grandiceps","Hylobates muelleri",1
"Crocidura grandiceps","Hylobates pileatus",1
"Crocidura grandiceps","Lagothrix lagothricha",1
"Crocidura grandiceps","Miniopterus schreibersii",1
"Crocidura grandiceps","Myotis chinensis",1
"Crocidura grandiceps","Myotis davidii",1
"Crocidura grandiceps","Nomascus gabriellae",1
"Crocidura grandiceps","Nomascus leucogenys",1
"Crocidura grandiceps","Pan troglodytes",1
"Crocidura grandiceps","Papio ursinus",1
"Crocidura grandiceps","Platyrrhinus lineatus",1
"Crocidura grandiceps","Pongo abelii",1
"Crocidura grandiceps","Pongo pygmaeus",1
"Crocidura grandiceps","Rattus losea",1
"Crocidura grandiceps","Rhinolophus alcyone",1
"Crocidura grandiceps","Rhinolophus ferrumequinum",1
"Crocidura grandiceps","Rhinolophus luctus",1
"Crocidura grandiceps","Rhinolophus pearsonii",1
"Crocidura grandiceps","Rhinolophus pusillus",1
"Crocidura grandiceps","Rhinolophus sinicus",1
"Crocidura grandiceps","Sorex araneus",1
"Crocidura grandiceps","Sorex coronatus",1
"Crocidura grandiceps","Uroderma bilobatum",1
"Crocidura olivieri","Gorilla beringei",1
"Crocidura olivieri","Gorilla gorilla",1
"Crocidura olivieri","Hipposideros armiger",1
"Crocidura olivieri","Hylobates agilis",1
"Crocidura olivieri","Hylobates albibarbis",1
"Crocidura olivieri","Hylobates lar",1
"Crocidura olivieri","Hylobates moloch",1
"Crocidura olivieri","Hylobates muelleri",1
"Crocidura olivieri","Hylobates pileatus",1
"Crocidura olivieri","Lagothrix lagothricha",1
"Crocidura olivieri","Miniopterus schreibersii",1
"Crocidura olivieri","Myotis chinensis",1
"Crocidura olivieri","Myotis davidii",1
"Crocidura olivieri","Nomascus gabriellae",1
"Crocidura olivieri","Nomascus leucogenys",1
"Crocidura olivieri","Pan troglodytes",1
"Crocidura olivieri","Papio ursinus",1
"Crocidura olivieri","Platyrrhinus lineatus",1
"Crocidura olivieri","Pongo abelii",1
"Crocidura olivieri","Pongo pygmaeus",1
"Crocidura olivieri","Rattus losea",1
"Crocidura olivieri","Rhinolophus alcyone",1
"Crocidura olivieri","Rhinolophus ferrumequinum",1
"Crocidura olivieri","Rhinolophus luctus",1
"Crocidura olivieri","Rhinolophus pearsonii",1
"Crocidura olivieri","Rhinolophus pusillus",1
"Crocidura olivieri","Rhinolophus sinicus",1
"Crocidura olivieri","Sorex araneus",1
"Crocidura olivieri","Sorex coronatus",1
"Crocidura olivieri","Uroderma bilobatum",1
"Gorilla beringei","Gorilla gorilla",1
"Gorilla beringei","Hipposideros armiger",1
"Gorilla beringei","Hylobates agilis",1
"Gorilla beringei","Hylobates albibarbis",1
"Gorilla beringei","Hylobates lar",1
"Gorilla beringei","Hylobates moloch",1
"Gorilla beringei","Hylobates muelleri",1
"Gorilla beringei","Hylobates pileatus",1
"Gorilla beringei","Lagothrix lagothricha",1
"Gorilla beringei","Miniopterus schreibersii",1
"Gorilla beringei","Myotis chinensis",1
"Gorilla beringei","Myotis davidii",1
"Gorilla beringei","Nomascus gabriellae",1
"Gorilla beringei","Nomascus leucogenys",1
"Gorilla beringei","Pan troglodytes",1
"Gorilla beringei","Papio ursinus",1
"Gorilla beringei","Platyrrhinus lineatus",1
"Gorilla beringei","Pongo abelii",1
"Gorilla beringei","Pongo pygmaeus",1
"Gorilla beringei","Rattus losea",1
"Gorilla beringei","Rhinolophus alcyone",1
"Gorilla beringei","Rhinolophus ferrumequinum",1
"Gorilla beringei","Rhinolophus luctus",1
"Gorilla beringei","Rhinolophus pearsonii",1
"Gorilla beringei","Rhinolophus pusillus",1
"Gorilla beringei","Rhinolophus sinicus",1
"Gorilla beringei","Sorex araneus",1
"Gorilla beringei","Sorex coronatus",1
"Gorilla beringei","Uroderma bilobatum",1
"Gorilla gorilla","Hipposideros armiger",1
"Gorilla gorilla","Hylobates agilis",1
"Gorilla gorilla","Hylobates albibarbis",1
"Gorilla gorilla","Hylobates lar",1
"Gorilla gorilla","Hylobates moloch",1
"Gorilla gorilla","Hylobates muelleri",1
"Gorilla gorilla","Hylobates pileatus",1
"Gorilla gorilla","Lagothrix lagothricha",1
"Gorilla gorilla","Miniopterus schreibersii",1
"Gorilla gorilla","Myotis chinensis",1
"Gorilla gorilla","Myotis davidii",1
"Gorilla gorilla","Nomascus gabriellae",1
"Gorilla gorilla","Nomascus leucogenys",1
"Gorilla gorilla","Pan troglodytes",1
"Gorilla gorilla","Papio ursinus",1
"Gorilla gorilla","Platyrrhinus lineatus",1
"Gorilla gorilla","Pongo abelii",1
"Gorilla gorilla","Pongo pygmaeus",1
"Gorilla gorilla","Rattus losea",1
"Gorilla gorilla","Rhinolophus alcyone",1
"Gorilla gorilla","Rhinolophus ferrumequinum",1
"Gorilla gorilla","Rhinolophus luctus",1
"Gorilla gorilla","Rhinolophus pearsonii",1
"Gorilla gorilla","Rhinolophus pusillus",1
"Gorilla gorilla","Rhinolophus sinicus",1
"Gorilla gorilla","Sorex araneus",1
"Gorilla gorilla","Sorex coronatus",1
"Gorilla gorilla","Uroderma bilobatum",1
"Hipposideros armiger","Hylobates agilis",1
"Hipposideros armiger","Hylobates albibarbis",1
