"Species1","Species2","n_virus"
"Alces alces","Apodemus flavicollis",1
"Alces alces","Bandicota bengalensis",1
"Alces alces","Bandicota indica",1
"Alces alces","Bison bison",1
"Alces alces","Canis lupus",1
"Alces alces","Capreolus capreolus",1
"Alces alces","Cercopithecus hamlyni",1
"Alces alces","Cervus elaphus",1
"Alces alces","Cervus nippon",1
"Alces alces","Crocidura olivieri",1
"Alces alces","Dama dama",1
"Alces alces","Elaphodus cephalophus",1
"Alces alces","Equus ferus",1
"Alces alces","Giraffa camelopardalis",1
"Alces alces","Herpestes javanicus",1
"Alces alces","Lama guanicoe",1
"Alces alces","Lepus europaeus",1
"Alces alces","Lynx lynx",1
"Alces alces","Macaca fuscata",1
"Alces alces","Maxomys surifer",1
"Alces alces","Microtus arvalis",1
"Alces alces","Muntiacus reevesi",1
"Alces alces","Mus musculus",1
"Alces alces","Mustela lutreola",1
"Alces alces","Mustela putorius",1
"Alces alces","Myodes gapperi",1
"Alces alces","Myodes glareolus",1
"Alces alces","Neofelis nebulosa",1
"Alces alces","Neotoma albigula",1
"Alces alces","Neotoma mexicana",1
"Alces alces","Neotoma micropus",1
"Alces alces","Neovison vison",1
"Alces alces","Odocoileus hemionus",1
"Alces alces","Odocoileus virginianus",1
"Alces alces","Oryzomys palustris",1
"Alces alces","Pan troglodytes",1
"Alces alces","Panthera tigris",1
"Alces alces","Pecari tajacu",1
"Alces alces","Peromyscus boylii",1
"Alces alces","Peromyscus eremicus",1
"Alces alces","Peromyscus leucopus",1
"Alces alces","Peromyscus maniculatus",1
"Alces alces","Rangifer tarandus",1
"Alces alces","Rattus exulans",1
"Alces alces","Rattus losea",1
"Alces alces","Rattus norvegicus",1
"Alces alces","Rattus pyctoris",1
"Alces alces","Rattus rattus",1
"Alces alces","Rattus tanezumi",1
"Alces alces","Rattus tiomanicus",1
"Alces alces","Rucervus duvaucelii",1
"Alces alces","Rupicapra rupicapra",1
"Alces alces","Sigmodon hispidus",1
"Alces alces","Suncus murinus",1
"Alces alces","Sundamys muelleri",1
"Alces alces","Sus scrofa",1
"Alces alces","Tupaia belangeri",1
"Alces alces","Tupaia glis",1
"Alces alces","Ursus americanus",1
"Alces alces","Ursus arctos",1
"Alces alces","Ursus thibetanus",1
"Alces alces","Vulpes vulpes",1
"Apodemus chevrieri","Bandicota indica",1
"Apodemus chevrieri","Eothenomys chinensis",1
"Apodemus chevrieri","Eothenomys melanogaster",1
"Apodemus chevrieri","Mustela putorius",1
"Apodemus chevrieri","Neovison vison",1
"Apodemus chevrieri","Rattus norvegicus",1
"Apodemus chevrieri","Rattus rattus",1
"Apodemus chevrieri","Suncus murinus",1
"Apodemus flavicollis","Bandicota bengalensis",1
"Apodemus flavicollis","Bandicota indica",1
"Apodemus flavicollis","Bison bison",1
"Apodemus flavicollis","Canis lupus",1
"Apodemus flavicollis","Capreolus capreolus",1
"Apodemus flavicollis","Cercopithecus hamlyni",1
"Apodemus flavicollis","Cervus elaphus",1
"Apodemus flavicollis","Cervus nippon",1
"Apodemus flavicollis","Crocidura olivieri",1
"Apodemus flavicollis","Dama dama",1
"Apodemus flavicollis","Elaphodus cephalophus",1
"Apodemus flavicollis","Equus ferus",1
"Apodemus flavicollis","Giraffa camelopardalis",1
"Apodemus flavicollis","Herpestes javanicus",1
"Apodemus flavicollis","Lama guanicoe",1
"Apodemus flavicollis","Lepus europaeus",1
"Apodemus flavicollis","Lynx lynx",1
"Apodemus flavicollis","Macaca fuscata",1
"Apodemus flavicollis","Maxomys surifer",1
"Apodemus flavicollis","Microtus arvalis",1
"Apodemus flavicollis","Muntiacus reevesi",1
"Apodemus flavicollis","Mus musculus",1
"Apodemus flavicollis","Mustela lutreola",1
"Apodemus flavicollis","Mustela putorius",1
"Apodemus flavicollis","Myodes gapperi",1
"Apodemus flavicollis","Myodes glareolus",1
"Apodemus flavicollis","Neofelis nebulosa",1
"Apodemus flavicollis","Neotoma albigula",1
"Apodemus flavicollis","Neotoma mexicana",1
"Apodemus flavicollis","Neotoma micropus",1
"Apodemus flavicollis","Neovison vison",1
"Apodemus flavicollis","Odocoileus hemionus",1
"Apodemus flavicollis","Odocoileus virginianus",1
"Apodemus flavicollis","Oryzomys palustris",1
"Apodemus flavicollis","Pan troglodytes",1
"Apodemus flavicollis","Panthera tigris",1
"Apodemus flavicollis","Pecari tajacu",1
"Apodemus flavicollis","Peromyscus boylii",1
"Apodemus flavicollis","Peromyscus eremicus",1
"Apodemus flavicollis","Peromyscus leucopus",1
"Apodemus flavicollis","Peromyscus maniculatus",1
"Apodemus flavicollis","Rangifer tarandus",1
"Apodemus flavicollis","Rattus exulans",1
"Apodemus flavicollis","Rattus losea",1
"Apodemus flavicollis","Rattus norvegicus",1
"Apodemus flavicollis","Rattus pyctoris",1
"Apodemus flavicollis","Rattus rattus",1
"Apodemus flavicollis","Rattus tanezumi",1
"Apodemus flavicollis","Rattus tiomanicus",1
"Apodemus flavicollis","Rucervus duvaucelii",1
"Apodemus flavicollis","Rupicapra rupicapra",1
"Apodemus flavicollis","Sigmodon hispidus",1
"Apodemus flavicollis","Suncus murinus",1
"Apodemus flavicollis","Sundamys muelleri",1
"Apodemus flavicollis","Sus scrofa",1
"Apodemus flavicollis","Tupaia belangeri",1
"Apodemus flavicollis","Tupaia glis",1
"Apodemus flavicollis","Ursus americanus",1
"Apodemus flavicollis","Ursus arctos",1
"Apodemus flavicollis","Ursus thibetanus",1
"Apodemus flavicollis","Vulpes vulpes",1
"Bandicota bengalensis","Bandicota indica",1
"Bandicota bengalensis","Bison bison",1
"Bandicota bengalensis","Canis lupus",1
"Bandicota bengalensis","Capreolus capreolus",1
"Bandicota bengalensis","Cercopithecus hamlyni",1
"Bandicota bengalensis","Cervus elaphus",1
"Bandicota bengalensis","Cervus nippon",1
"Bandicota bengalensis","Crocidura olivieri",1
"Bandicota bengalensis","Dama dama",1
"Bandicota bengalensis","Elaphodus cephalophus",1
"Bandicota bengalensis","Equus ferus",1
"Bandicota bengalensis","Giraffa camelopardalis",1
"Bandicota bengalensis","Herpestes javanicus",1
"Bandicota bengalensis","Lama guanicoe",1
"Bandicota bengalensis","Lepus europaeus",1
"Bandicota bengalensis","Lynx lynx",1
"Bandicota bengalensis","Macaca fuscata",1
"Bandicota bengalensis","Maxomys surifer",1
"Bandicota bengalensis","Microtus arvalis",1
"Bandicota bengalensis","Muntiacus reevesi",1
"Bandicota bengalensis","Mus musculus",1
"Bandicota bengalensis","Mustela lutreola",1
"Bandicota bengalensis","Mustela putorius",1
"Bandicota bengalensis","Myodes gapperi",1
"Bandicota bengalensis","Myodes glareolus",1
"Bandicota bengalensis","Neofelis nebulosa",1
"Bandicota bengalensis","Neotoma albigula",1
"Bandicota bengalensis","Neotoma mexicana",1
"Bandicota bengalensis","Neotoma micropus",1
"Bandicota bengalensis","Neovison vison",1
"Bandicota bengalensis","Odocoileus hemionus",1
"Bandicota bengalensis","Odocoileus virginianus",1
"Bandicota bengalensis","Oryzomys palustris",1
"Bandicota bengalensis","Pan troglodytes",1
"Bandicota bengalensis","Panthera tigris",1
"Bandicota bengalensis","Pecari tajacu",1
"Bandicota bengalensis","Peromyscus boylii",1
"Bandicota bengalensis","Peromyscus eremicus",1
"Bandicota bengalensis","Peromyscus leucopus",1
"Bandicota bengalensis","Peromyscus maniculatus",1
"Bandicota bengalensis","Rangifer tarandus",1
"Bandicota bengalensis","Rattus exulans",1
"Bandicota bengalensis","Rattus losea",1
"Bandicota bengalensis","Rattus norvegicus",1
"Bandicota bengalensis","Rattus pyctoris",1
"Bandicota bengalensis","Rattus rattus",1
"Bandicota bengalensis","Rattus tanezumi",1
"Bandicota bengalensis","Rattus tiomanicus",1
"Bandicota bengalensis","Rucervus duvaucelii",1
"Bandicota bengalensis","Rupicapra rupicapra",1
"Bandicota bengalensis","Sigmodon hispidus",1
"Bandicota bengalensis","Suncus murinus",1
"Bandicota bengalensis","Sundamys muelleri",1
"Bandicota bengalensis","Sus scrofa",1
"Bandicota bengalensis","Tupaia belangeri",1
"Bandicota bengalensis","Tupaia glis",1
"Bandicota bengalensis","Ursus americanus",1
"Bandicota bengalensis","Ursus arctos",1
"Bandicota bengalensis","Ursus thibetanus",1
"Bandicota bengalensis","Vulpes vulpes",1
"Bandicota indica","Bison bison",1
"Bandicota indica","Canis lupus",1
"Bandicota indica","Capreolus capreolus",1
"Bandicota indica","Cercopithecus hamlyni",1
"Bandicota indica","Cervus elaphus",1
"Bandicota indica","Cervus nippon",1
"Bandicota indica","Crocidura olivieri",1
"Bandicota indica","Dama dama",1
"Bandicota indica","Elaphodus cephalophus",1
"Bandicota indica","Equus ferus",1
"Bandicota indica","Giraffa camelopardalis",1
"Bandicota indica","Herpestes javanicus",1
"Bandicota indica","Lama guanicoe",1
"Bandicota indica","Lepus europaeus",1
"Bandicota indica","Lynx lynx",1
"Bandicota indica","Macaca fuscata",1
"Bandicota indica","Maxomys surifer",1
"Bandicota indica","Microtus arvalis",1
"Bandicota indica","Muntiacus reevesi",1
"Bandicota indica","Mus musculus",1
"Bandicota indica","Mustela lutreola",1
"Bandicota indica","Mustela putorius",2
"Bandicota indica","Myodes gapperi",1
"Bandicota indica","Myodes glareolus",1
"Bandicota indica","Neofelis nebulosa",1
"Bandicota indica","Neotoma albigula",1
"Bandicota indica","Neotoma mexicana",1
"Bandicota indica","Neotoma micropus",1
"Bandicota indica","Neovison vison",2
"Bandicota indica","Odocoileus hemionus",1
"Bandicota indica","Odocoileus virginianus",1
"Bandicota indica","Oryzomys palustris",1
"Bandicota indica","Pan troglodytes",1
"Bandicota indica","Panthera tigris",1
"Bandicota indica","Pecari tajacu",1
"Bandicota indica","Peromyscus boylii",1
"Bandicota indica","Peromyscus eremicus",1
"Bandicota indica","Peromyscus leucopus",1
"Bandicota indica","Peromyscus maniculatus",1
"Bandicota indica","Rangifer tarandus",1
"Bandicota indica","Rattus exulans",1
"Bandicota indica","Rattus losea",2
"Bandicota indica","Rattus norvegicus",2
"Bandicota indica","Rattus pyctoris",1
"Bandicota indica","Rattus rattus",2
"Bandicota indica","Rattus tanezumi",2
"Bandicota indica","Rattus tiomanicus",1
"Bandicota indica","Rucervus duvaucelii",1
"Bandicota indica","Rupicapra rupicapra",1
"Bandicota indica","Sigmodon hispidus",1
"Bandicota indica","Suncus murinus",2
"Bandicota indica","Sundamys muelleri",1
"Bandicota indica","Sus scrofa",1
"Bandicota indica","Tupaia belangeri",1
"Bandicota indica","Tupaia glis",1
"Bandicota indica","Ursus americanus",1
"Bandicota indica","Ursus arctos",1
"Bandicota indica","Ursus thibetanus",1
"Bandicota indica","Vulpes vulpes",1
"Bandicota indica","Eothenomys chinensis",1
"Bandicota indica","Eothenomys melanogaster",1
"Bandicota indica","Rattus argentiventer",1
"Bison bison","Canis lupus",1
"Bison bison","Capreolus capreolus",1
"Bison bison","Cercopithecus hamlyni",1
"Bison bison","Cervus elaphus",1
"Bison bison","Cervus nippon",1
"Bison bison","Crocidura olivieri",1
"Bison bison","Dama dama",1
"Bison bison","Elaphodus cephalophus",1
"Bison bison","Equus ferus",1
"Bison bison","Giraffa camelopardalis",1
"Bison bison","Herpestes javanicus",1
"Bison bison","Lama guanicoe",1
"Bison bison","Lepus europaeus",1
"Bison bison","Lynx lynx",1
"Bison bison","Macaca fuscata",1
"Bison bison","Maxomys surifer",1
"Bison bison","Microtus arvalis",1
"Bison bison","Muntiacus reevesi",1
"Bison bison","Mus musculus",1
"Bison bison","Mustela lutreola",1
"Bison bison","Mustela putorius",1
"Bison bison","Myodes gapperi",1
"Bison bison","Myodes glareolus",1
"Bison bison","Neofelis nebulosa",1
"Bison bison","Neotoma albigula",1
"Bison bison","Neotoma mexicana",1
"Bison bison","Neotoma micropus",1
"Bison bison","Neovison vison",1
"Bison bison","Odocoileus hemionus",1
"Bison bison","Odocoileus virginianus",1
"Bison bison","Oryzomys palustris",1
"Bison bison","Pan troglodytes",1
"Bison bison","Panthera tigris",1
"Bison bison","Pecari tajacu",1
"Bison bison","Peromyscus boylii",1
"Bison bison","Peromyscus eremicus",1
"Bison bison","Peromyscus leucopus",1
"Bison bison","Peromyscus maniculatus",1
"Bison bison","Rangifer tarandus",1
"Bison bison","Rattus exulans",1
"Bison bison","Rattus losea",1
"Bison bison","Rattus norvegicus",1
"Bison bison","Rattus pyctoris",1
"Bison bison","Rattus rattus",1
"Bison bison","Rattus tanezumi",1
"Bison bison","Rattus tiomanicus",1
"Bison bison","Rucervus duvaucelii",1
"Bison bison","Rupicapra rupicapra",1
"Bison bison","Sigmodon hispidus",1
"Bison bison","Suncus murinus",1
"Bison bison","Sundamys muelleri",1
"Bison bison","Sus scrofa",1
"Bison bison","Tupaia belangeri",1
"Bison bison","Tupaia glis",1
"Bison bison","Ursus americanus",1
"Bison bison","Ursus arctos",1
"Bison bison","Ursus thibetanus",1
"Bison bison","Vulpes vulpes",1
"Canis lupus","Capreolus capreolus",1
"Canis lupus","Cercopithecus hamlyni",1
"Canis lupus","Cervus elaphus",1
"Canis lupus","Cervus nippon",1
"Canis lupus","Crocidura olivieri",1
"Canis lupus","Dama dama",1
"Canis lupus","Elaphodus cephalophus",1
"Canis lupus","Equus ferus",1
"Canis lupus","Giraffa camelopardalis",1
"Canis lupus","Herpestes javanicus",1
