"Species1","Species2","n_virus"
"Acinonyx jubatus","Caracal caracal",1
"Acinonyx jubatus","Crocuta crocuta",1
"Acinonyx jubatus","Felis silvestris",1
"Acinonyx jubatus","Herpailurus yagouaroundi",1
"Acinonyx jubatus","Leopardus geoffroyi",1
"Acinonyx jubatus","Leopardus pardalis",1
"Acinonyx jubatus","Leopardus wiedii",1
"Acinonyx jubatus","Leptonychotes weddellii",1
"Acinonyx jubatus","Lontra canadensis",1
"Acinonyx jubatus","Lynx canadensis",1
"Acinonyx jubatus","Lynx lynx",1
"Acinonyx jubatus","Lynx pardinus",1
"Acinonyx jubatus","Panthera leo",1
"Acinonyx jubatus","Panthera tigris",1
"Acinonyx jubatus","Panthera uncia",1
"Acinonyx jubatus","Puma concolor",1
"Aepyceros melampus","Alcelaphus buselaphus",2
"Aepyceros melampus","Cervus elaphus",2
"Aepyceros melampus","Connochaetes taurinus",2
"Aepyceros melampus","Damaliscus lunatus",2
"Aepyceros melampus","Oryx beisa",1
"Aepyceros melampus","Alces alces",1
"Aepyceros melampus","Ammotragus lervia",1
"Aepyceros melampus","Antilocapra americana",1
"Aepyceros melampus","Bison bison",1
"Aepyceros melampus","Bison bonasus",1
"Aepyceros melampus","Bos mutus",1
"Aepyceros melampus","Capra ibex",1
"Aepyceros melampus","Capreolus capreolus",1
"Aepyceros melampus","Cephalophus dorsalis",1
"Aepyceros melampus","Cephalophus leucogaster",1
"Aepyceros melampus","Cephalophus nigrifrons",1
"Aepyceros melampus","Cephalophus weynsi",1
"Aepyceros melampus","Ceratotherium simum",1
"Aepyceros melampus","Dama dama",1
"Aepyceros melampus","Diceros bicornis",1
"Aepyceros melampus","Elephas maximus",1
"Aepyceros melampus","Giraffa camelopardalis",1
"Aepyceros melampus","Hippopotamus amphibius",1
"Aepyceros melampus","Hippotragus equinus",1
"Aepyceros melampus","Hippotragus niger",1
"Aepyceros melampus","Kobus ellipsiprymnus",1
"Aepyceros melampus","Kobus kob",1
"Aepyceros melampus","Kobus leche",1
"Aepyceros melampus","Mustela putorius",1
"Aepyceros melampus","Nanger granti",1
"Aepyceros melampus","Neovison vison",1
"Aepyceros melampus","Odocoileus hemionus",1
"Aepyceros melampus","Odocoileus virginianus",1
"Aepyceros melampus","Ovis canadensis",1
"Aepyceros melampus","Rangifer tarandus",1
"Aepyceros melampus","Redunca arundinum",1
"Aepyceros melampus","Rupicapra rupicapra",1
"Aepyceros melampus","Syncerus caffer",1
"Aepyceros melampus","Tragelaphus angasii",1
"Aepyceros melampus","Tragelaphus oryx",1
"Aepyceros melampus","Tragelaphus scriptus",1
"Aepyceros melampus","Tragelaphus strepsiceros",1
"Alcelaphus buselaphus","Cervus elaphus",4
"Alcelaphus buselaphus","Connochaetes taurinus",3
"Alcelaphus buselaphus","Damaliscus lunatus",3
"Alcelaphus buselaphus","Oryx beisa",1
"Alcelaphus buselaphus","Alces alces",2
