"Species1","Species2","n_virus"
"Acinonyx jubatus","Lynx rufus",1
"Acinonyx jubatus","Panthera leo",1
"Acinonyx jubatus","Panthera tigris",1
"Acinonyx jubatus","Panthera uncia",1
"Acinonyx jubatus","Puma concolor",1
"Ailuropoda melanoleuca","Zalophus californianus",1
"Ailuropoda melanoleuca","Ursus maritimus",1
"Alces alces","Cervus elaphus",1
"Alces alces","Rangifer tarandus",1
"Alouatta guariba","Saimiri sciureus",1
"Apodemus sylvaticus","Mastomys coucha",1
"Apodemus sylvaticus","Micromys minutus",1
"Apodemus sylvaticus","Mus musculus",1
"Apodemus sylvaticus","Rattus norvegicus",1
"Bos mutus","Capreolus capreolus",1
"Bos mutus","Cervus elaphus",1
"Bos mutus","Equus ferus",1
"Bos mutus","Equus zebra",1
"Bos mutus","Giraffa camelopardalis",1
"Bos mutus","Hippotragus niger",1
"Bos mutus","Ovis vignei",1
"Bos mutus","Rupicapra rupicapra",1
"Canis latrans","Canis lupus",1
"Capreolus capreolus","Cervus elaphus",1
"Capreolus capreolus","Equus ferus",1
"Capreolus capreolus","Equus zebra",1
"Capreolus capreolus","Giraffa camelopardalis",1
"Capreolus capreolus","Hippotragus niger",1
"Capreolus capreolus","Ovis vignei",1
"Capreolus capreolus","Rupicapra rupicapra",1
"Capreolus capreolus","Rusa alfredi",1
"Cervus elaphus","Rangifer tarandus",1
"Cervus elaphus","Equus ferus",1
"Cervus elaphus","Equus zebra",1
"Cervus elaphus","Giraffa camelopardalis",1
"Cervus elaphus","Hippotragus niger",1
"Cervus elaphus","Ovis vignei",1
"Cervus elaphus","Rupicapra rupicapra",1
"Colobus guereza","Macaca fascicularis",1
"Enhydra lutris","Procyon lotor",1
"Equus ferus","Equus zebra",1
"Equus ferus","Giraffa camelopardalis",1
"Equus ferus","Hippotragus niger",1
"Equus ferus","Ovis vignei",1
"Equus ferus","Rupicapra rupicapra",1
"Equus zebra","Giraffa camelopardalis",1
"Equus zebra","Hippotragus niger",1
"Equus zebra","Ovis vignei",1
"Equus zebra","Rupicapra rupicapra",1
"Giraffa camelopardalis","Hippotragus niger",1
"Giraffa camelopardalis","Ovis vignei",1
"Giraffa camelopardalis","Rupicapra rupicapra",1
"Hippotragus niger","Ovis vignei",1
"Hippotragus niger","Rupicapra rupicapra",1
"Lynx rufus","Panthera leo",1
"Lynx rufus","Panthera tigris",1
"Lynx rufus","Panthera uncia",1
"Lynx rufus","Puma concolor",1
"Macaca fascicularis","Macaca fuscata",1
"Macaca fascicularis","Papio hamadryas",1
"Macaca fuscata","Papio hamadryas",1
"Mastomys coucha","Micromys minutus",1
"Mastomys coucha","Mus musculus",1
"Mastomys coucha","Rattus norvegicus",1
"Mesocricetus auratus","Phodopus roborovskii",1
"Mesocricetus auratus","Phodopus sungorus",1
"Mesocricetus auratus","Rattus norvegicus",1
"Micromys minutus","Mus musculus",1
"Micromys minutus","Rattus norvegicus",1
"Mus musculus","Rattus norvegicus",1
"Odocoileus hemionus","Odocoileus virginianus",1
"Ovis vignei","Rupicapra rupicapra",1
"Pan paniscus","Pan troglodytes",1
"Panthera leo","Panthera tigris",1
"Panthera leo","Panthera uncia",1
"Panthera leo","Puma concolor",1
"Panthera tigris","Panthera uncia",1
"Panthera tigris","Puma concolor",1
"Panthera uncia","Puma concolor",1
"Phodopus roborovskii","Phodopus sungorus",1
"Phodopus roborovskii","Rattus norvegicus",1
"Phodopus sungorus","Rattus norvegicus",1
"Rhinolophus pusillus","Scotophilus kuhlii",1
"Sylvilagus audubonii","Sylvilagus floridanus",1
