"Species1","Species2","n_virus"
"Acinonyx jubatus","Ailuropoda melanoleuca",1
"Acinonyx jubatus","Ailurus fulgens",1
"Acinonyx jubatus","Canis adustus",1
"Acinonyx jubatus","Canis aureus",1
"Acinonyx jubatus","Canis latrans",1
"Acinonyx jubatus","Canis lupus",1
"Acinonyx jubatus","Canis mesomelas",1
"Acinonyx jubatus","Canis simensis",1
"Acinonyx jubatus","Caracal caracal",1
"Acinonyx jubatus","Cerdocyon thous",1
"Acinonyx jubatus","Cervus nippon",1
"Acinonyx jubatus","Choloepus didactylus",1
"Acinonyx jubatus","Chrysocyon brachyurus",1
"Acinonyx jubatus","Crocuta crocuta",1
"Acinonyx jubatus","Cystophora cristata",1
"Acinonyx jubatus","Gulo gulo",1
"Acinonyx jubatus","Halichoerus grypus",1
"Acinonyx jubatus","Herpailurus yagouaroundi",1
"Acinonyx jubatus","Leopardus pardalis",1
"Acinonyx jubatus","Lobodon carcinophaga",1
"Acinonyx jubatus","Lontra canadensis",1
"Acinonyx jubatus","Lycalopex griseus",1
"Acinonyx jubatus","Lycalopex gymnocercus",1
"Acinonyx jubatus","Lycaon pictus",1
"Acinonyx jubatus","Lynx canadensis",1
"Acinonyx jubatus","Lynx lynx",1
"Acinonyx jubatus","Lynx pardinus",1
"Acinonyx jubatus","Lynx rufus",1
"Acinonyx jubatus","Macaca fascicularis",1
"Acinonyx jubatus","Macaca fuscata",1
"Acinonyx jubatus","Marmota caudata",1
"Acinonyx jubatus","Martes foina",1
"Acinonyx jubatus","Martes martes",1
"Acinonyx jubatus","Martes melampus",1
"Acinonyx jubatus","Martes pennanti",1
"Acinonyx jubatus","Martes zibellina",1
"Acinonyx jubatus","Meles leucurus",1
"Acinonyx jubatus","Meles meles",1
"Acinonyx jubatus","Melogale moschata",1
"Acinonyx jubatus","Mephitis mephitis",1
"Acinonyx jubatus","Mustela lutreola",1
"Acinonyx jubatus","Mustela nigripes",1
"Acinonyx jubatus","Mustela nivalis",1
"Acinonyx jubatus","Mustela putorius",1
"Acinonyx jubatus","Mustela sibirica",1
"Acinonyx jubatus","Myrmecophaga tridactyla",1
"Acinonyx jubatus","Nasua nasua",1
"Acinonyx jubatus","Neovison vison",1
"Acinonyx jubatus","Nyctereutes procyonoides",1
"Acinonyx jubatus","Odobenus rosmarus",1
"Acinonyx jubatus","Otocyon megalotis",1
"Acinonyx jubatus","Paguma larvata",1
"Acinonyx jubatus","Panthera leo",1
"Acinonyx jubatus","Panthera onca",1
"Acinonyx jubatus","Panthera pardus",1
"Acinonyx jubatus","Panthera tigris",1
"Acinonyx jubatus","Paradoxurus hermaphroditus",1
"Acinonyx jubatus","Parahyaena brunnea",1
"Acinonyx jubatus","Pecari tajacu",1
"Acinonyx jubatus","Phoca vitulina",1
"Acinonyx jubatus","Procyon lotor",1
"Acinonyx jubatus","Procyon pygmaeus",1
"Acinonyx jubatus","Puma concolor",1
"Acinonyx jubatus","Pusa caspica",1
"Acinonyx jubatus","Pusa sibirica",1
"Acinonyx jubatus","Sus scrofa",1
"Acinonyx jubatus","Tamandua tetradactyla",1
"Acinonyx jubatus","Taxidea taxus",1
"Acinonyx jubatus","Tremarctos ornatus",1
"Acinonyx jubatus","Urocyon cinereoargenteus",1
