"Species1","Species2","n_virus"
"Acinonyx jubatus","Ailuropoda melanoleuca",1
"Acinonyx jubatus","Ailurus fulgens",1
"Acinonyx jubatus","Aonyx cinereus",1
"Acinonyx jubatus","Bassariscus astutus",1
"Acinonyx jubatus","Canis adustus",1
"Acinonyx jubatus","Canis aureus",1
"Acinonyx jubatus","Canis latrans",1
"Acinonyx jubatus","Canis lupus",1
"Acinonyx jubatus","Canis mesomelas",1
"Acinonyx jubatus","Canis simensis",1
"Acinonyx jubatus","Caracal caracal",2
"Acinonyx jubatus","Cerdocyon thous",1
"Acinonyx jubatus","Chrysocyon brachyurus",1
"Acinonyx jubatus","Civettictis civetta",1
"Acinonyx jubatus","Crocuta crocuta",1
"Acinonyx jubatus","Erinaceus europaeus",1
"Acinonyx jubatus","Felis nigripes",1
"Acinonyx jubatus","Felis silvestris",2
"Acinonyx jubatus","Genetta genetta",1
"Acinonyx jubatus","Gulo gulo",1
"Acinonyx jubatus","Herpestes urva",1
"Acinonyx jubatus","Ichneumia albicauda",1
"Acinonyx jubatus","Leopardus geoffroyi",1
"Acinonyx jubatus","Leopardus pardalis",2
"Acinonyx jubatus","Leopardus tigrinus",2
"Acinonyx jubatus","Leptailurus serval",1
"Acinonyx jubatus","Lontra canadensis",2
"Acinonyx jubatus","Lutra lutra",1
"Acinonyx jubatus","Lycalopex culpaeus",1
"Acinonyx jubatus","Lycalopex griseus",1
"Acinonyx jubatus","Lycalopex gymnocercus",1
"Acinonyx jubatus","Lycaon pictus",1
"Acinonyx jubatus","Lynx canadensis",2
"Acinonyx jubatus","Lynx lynx",2
"Acinonyx jubatus","Lynx pardinus",1
"Acinonyx jubatus","Lynx rufus",1
"Acinonyx jubatus","Manis pentadactyla",1
"Acinonyx jubatus","Martes americana",1
"Acinonyx jubatus","Martes foina",1
"Acinonyx jubatus","Martes martes",1
"Acinonyx jubatus","Martes pennanti",1
"Acinonyx jubatus","Meles meles",1
"Acinonyx jubatus","Mellivora capensis",1
"Acinonyx jubatus","Melogale moschata",1
"Acinonyx jubatus","Mephitis mephitis",1
"Acinonyx jubatus","Mustela lutreola",1
"Acinonyx jubatus","Nasua nasua",1
"Acinonyx jubatus","Neofelis nebulosa",1
"Acinonyx jubatus","Neovison vison",1
"Acinonyx jubatus","Nyctereutes procyonoides",1
"Acinonyx jubatus","Otocyon megalotis",1
"Acinonyx jubatus","Paguma larvata",1
"Acinonyx jubatus","Panthera leo",2
"Acinonyx jubatus","Panthera onca",1
"Acinonyx jubatus","Panthera pardus",2
"Acinonyx jubatus","Panthera tigris",2
"Acinonyx jubatus","Panthera uncia",1
"Acinonyx jubatus","Paradoxurus hermaphroditus",1
"Acinonyx jubatus","Prionailurus bengalensis",2
"Acinonyx jubatus","Prionailurus viverrinus",1
"Acinonyx jubatus","Prionodon linsang",1
"Acinonyx jubatus","Procyon lotor",2
"Acinonyx jubatus","Procyon pygmaeus",1
"Acinonyx jubatus","Puma concolor",2
"Acinonyx jubatus","Speothos venaticus",1
"Acinonyx jubatus","Spilogale gracilis",1
"Acinonyx jubatus","Urocyon cinereoargenteus",1
"Acinonyx jubatus","Urocyon littoralis",1
"Acinonyx jubatus","Ursus americanus",1
"Acinonyx jubatus","Ursus arctos",1
