"Species1","Species2","n_virus"
"Acinonyx jubatus","Aotus trivirgatus",1
"Acinonyx jubatus","Apodemus sylvaticus",1
"Acinonyx jubatus","Bandicota indica",1
"Acinonyx jubatus","Callithrix jacchus",1
"Acinonyx jubatus","Callospermophilus lateralis",1
"Acinonyx jubatus","Cercopithecus neglectus",1
"Acinonyx jubatus","Cervus elaphus",1
"Acinonyx jubatus","Chlorocebus pygerythrus",1
"Acinonyx jubatus","Colobus guereza",1
"Acinonyx jubatus","Dendrolagus goodfellowi",1
"Acinonyx jubatus","Didelphis virginiana",1
"Acinonyx jubatus","Elephas maximus",1
"Acinonyx jubatus","Enhydra lutris",1
"Acinonyx jubatus","Eulemur albifrons",1
"Acinonyx jubatus","Eulemur macaco",1
"Acinonyx jubatus","Giraffa camelopardalis",1
"Acinonyx jubatus","Glis glis",1
"Acinonyx jubatus","Herpestes javanicus",1
"Acinonyx jubatus","Hydrochoerus hydrochaeris",1
"Acinonyx jubatus","Hydromys chrysogaster",1
"Acinonyx jubatus","Hystrix cristata",1
"Acinonyx jubatus","Ichneumia albicauda",1
"Acinonyx jubatus","Lemur catta",1
"Acinonyx jubatus","Leontopithecus rosalia",1
"Acinonyx jubatus","Loxodonta africana",1
"Acinonyx jubatus","Macaca sylvanus",1
"Acinonyx jubatus","Mastomys natalensis",1
"Acinonyx jubatus","Microtus agrestis",1
"Acinonyx jubatus","Microtus arvalis",1
"Acinonyx jubatus","Mus booduga",1
"Acinonyx jubatus","Mus musculus",1
"Acinonyx jubatus","Myocastor coypus",1
"Acinonyx jubatus","Myodes glareolus",1
"Acinonyx jubatus","Neofelis nebulosa",1
"Acinonyx jubatus","Odocoileus virginianus",1
"Acinonyx jubatus","Pan paniscus",1
"Acinonyx jubatus","Pan troglodytes",1
"Acinonyx jubatus","Panthera leo",1
"Acinonyx jubatus","Panthera pardus",1
"Acinonyx jubatus","Panthera tigris",1
"Acinonyx jubatus","Papio hamadryas",1
"Acinonyx jubatus","Phacochoerus aethiopicus",1
"Acinonyx jubatus","Pongo pygmaeus",1
"Acinonyx jubatus","Procyon lotor",1
"Acinonyx jubatus","Proechimys guyannensis",1
"Acinonyx jubatus","Rattus argentiventer",1
"Acinonyx jubatus","Rattus exulans",1
"Acinonyx jubatus","Rattus norvegicus",1
"Acinonyx jubatus","Rattus rattus",1
"Acinonyx jubatus","Saimiri sciureus",1
"Acinonyx jubatus","Sciurus carolinensis",1
"Acinonyx jubatus","Sciurus vulgaris",1
"Acinonyx jubatus","Sigmodon hispidus",1
"Acinonyx jubatus","Sus scrofa",1
"Acinonyx jubatus","Symphalangus syndactylus",1
"Acinonyx jubatus","Tamiasciurus hudsonicus",1
"Acinonyx jubatus","Tapirus terrestris",1
"Acinonyx jubatus","Tatera indica",1
"Acinonyx jubatus","Urocitellus richardsonii",1
"Acinonyx jubatus","Varecia variegata",1
"Aepyceros melampus","Alcelaphus buselaphus",1
"Aepyceros melampus","Antidorcas marsupialis",1
"Aepyceros melampus","Antilope cervicapra",1
"Aepyceros melampus","Axis axis",1
"Aepyceros melampus","Bison bison",1
"Aepyceros melampus","Blastocerus dichotomus",1
"Aepyceros melampus","Bos gaurus",1
"Aepyceros melampus","Bos mutus",1
"Aepyceros melampus","Boselaphus tragocamelus",1
"Aepyceros melampus","Capra aegagrus",1
"Aepyceros melampus","Capreolus capreolus",1
"Aepyceros melampus","Connochaetes gnou",1
"Aepyceros melampus","Connochaetes taurinus",1
"Aepyceros melampus","Cricetulus barabensis",1
"Aepyceros melampus","Damaliscus lunatus",1
"Aepyceros melampus","Elephas maximus",1
"Aepyceros melampus","Erinaceus europaeus",1
"Aepyceros melampus","Eudorcas thomsonii",1
"Aepyceros melampus","Gazella arabica",1
"Aepyceros melampus","Gazella bennettii",1
"Aepyceros melampus","Gazella dorcas",1
"Aepyceros melampus","Gazella gazella",1
"Aepyceros melampus","Gazella subgutturosa",1
"Aepyceros melampus","Giraffa camelopardalis",1
"Aepyceros melampus","Helarctos malayanus",1
"Aepyceros melampus","Hippotragus equinus",1
"Aepyceros melampus","Hippotragus niger",1
"Aepyceros melampus","Kobus ellipsiprymnus",1
"Aepyceros melampus","Loxodonta africana",1
"Aepyceros melampus","Macropus giganteus",1
"Aepyceros melampus","Muntiacus muntjak",1
"Aepyceros melampus","Nanger granti",1
"Aepyceros melampus","Odocoileus virginianus",1
"Aepyceros melampus","Oryx gazella",1
"Aepyceros melampus","Oryx leucoryx",1
"Aepyceros melampus","Ovis vignei",1
"Aepyceros melampus","Phacochoerus aethiopicus",1
"Aepyceros melampus","Potamochoerus porcus",1
"Aepyceros melampus","Procapra gutturosa",1
"Aepyceros melampus","Raphicerus sharpei",1
"Aepyceros melampus","Redunca arundinum",1
"Aepyceros melampus","Rusa unicolor",1
"Aepyceros melampus","Saiga tatarica",1
"Aepyceros melampus","Sus scrofa",1
"Aepyceros melampus","Sylvicapra grimmia",1
"Aepyceros melampus","Syncerus caffer",1
"Aepyceros melampus","Tragelaphus imberbis",1
"Aepyceros melampus","Tragelaphus oryx",1
"Aepyceros melampus","Tragelaphus scriptus",1
"Aepyceros melampus","Tragelaphus strepsiceros",1
"Aepyceros melampus","Ursus thibetanus",1
"Aepyceros melampus","Vicugna vicugna",1
"Alcelaphus buselaphus","Antidorcas marsupialis",1
"Alcelaphus buselaphus","Antilope cervicapra",1
"Alcelaphus buselaphus","Axis axis",1
"Alcelaphus buselaphus","Bison bison",1
"Alcelaphus buselaphus","Blastocerus dichotomus",1
"Alcelaphus buselaphus","Bos gaurus",1
"Alcelaphus buselaphus","Bos mutus",1
"Alcelaphus buselaphus","Boselaphus tragocamelus",1
"Alcelaphus buselaphus","Capra aegagrus",1
"Alcelaphus buselaphus","Capreolus capreolus",1
"Alcelaphus buselaphus","Connochaetes gnou",1
"Alcelaphus buselaphus","Connochaetes taurinus",1
"Alcelaphus buselaphus","Cricetulus barabensis",1
"Alcelaphus buselaphus","Damaliscus lunatus",1
