"Species1","Species2","n_virus"
"Acerodon celebensis","Artibeus planirostris",1
"Acerodon celebensis","Aselliscus stoliczkanus",1
"Acerodon celebensis","Carollia perspicillata",1
"Acerodon celebensis","Desmodus rotundus",1
"Acerodon celebensis","Dobsonia moluccensis",3
"Acerodon celebensis","Eidolon helvum",1
"Acerodon celebensis","Hipposideros larvatus",1
"Acerodon celebensis","Hipposideros pomona",1
"Acerodon celebensis","Miniopterus schreibersii",1
"Acerodon celebensis","Molossus molossus",1
"Acerodon celebensis","Myotis daubentonii",1
"Acerodon celebensis","Myotis davidii",1
"Acerodon celebensis","Myotis horsfieldii",1
"Acerodon celebensis","Myotis pequinius",1
"Acerodon celebensis","Pipistrellus pipistrellus",1
"Acerodon celebensis","Pteronotus parnellii",1
"Acerodon celebensis","Rhinolophus affinis",1
"Acerodon celebensis","Rhinolophus blasii",1
"Acerodon celebensis","Rhinolophus ferrumequinum",1
"Acerodon celebensis","Rhinolophus pearsonii",1
"Acerodon celebensis","Rhinolophus pusillus",1
"Acerodon celebensis","Rhinolophus simulator",1
"Acerodon celebensis","Rhinolophus sinicus",1
"Acerodon celebensis","Rhinolophus thomasi",1
"Acerodon celebensis","Rousettus leschenaultii",1
"Acerodon celebensis","Scotophilus kuhlii",1
"Acerodon celebensis","Sturnira lilium",1
"Acerodon celebensis","Taphozous melanopogon",1
"Acerodon celebensis","Pteropus vampyrus",1
"Aotus trivirgatus","Callimico goeldii",1
"Aotus trivirgatus","Chlorocebus aethiops",1
"Aotus trivirgatus","Chlorocebus pygerythrus",1
"Aotus trivirgatus","Macaca cyclopis",1
"Aotus trivirgatus","Macaca fascicularis",1
"Aotus trivirgatus","Macaca fuscata",1
"Aotus trivirgatus","Macaca mulatta",1
"Aotus trivirgatus","Macaca nemestrina",1
"Aotus trivirgatus","Macaca sylvanus",1
"Aotus trivirgatus","Macaca tonkeana",1
"Aotus trivirgatus","Papio anubis",1
"Aotus trivirgatus","Papio hamadryas",1
"Aotus trivirgatus","Papio ursinus",1
"Aotus trivirgatus","Saimiri sciureus",1
"Artibeus planirostris","Aselliscus stoliczkanus",1
"Artibeus planirostris","Carollia perspicillata",1
"Artibeus planirostris","Desmodus rotundus",1
"Artibeus planirostris","Dobsonia moluccensis",1
"Artibeus planirostris","Eidolon helvum",1
"Artibeus planirostris","Hipposideros larvatus",1
"Artibeus planirostris","Hipposideros pomona",1
"Artibeus planirostris","Miniopterus schreibersii",1
"Artibeus planirostris","Molossus molossus",1
"Artibeus planirostris","Myotis daubentonii",1
"Artibeus planirostris","Myotis davidii",1
"Artibeus planirostris","Myotis horsfieldii",1
"Artibeus planirostris","Myotis pequinius",1
"Artibeus planirostris","Pipistrellus pipistrellus",1
"Artibeus planirostris","Pteronotus parnellii",1
"Artibeus planirostris","Rhinolophus affinis",1
"Artibeus planirostris","Rhinolophus blasii",1
"Artibeus planirostris","Rhinolophus ferrumequinum",1
"Artibeus planirostris","Rhinolophus pearsonii",1
