"Species1","Species2","n_virus"
"Acinonyx jubatus","Ailurus fulgens",1
"Acinonyx jubatus","Apodemus agrarius",1
"Acinonyx jubatus","Apodemus flavicollis",1
"Acinonyx jubatus","Apodemus sylvaticus",1
"Acinonyx jubatus","Arvicola scherman",1
"Acinonyx jubatus","Callithrix jacchus",1
"Acinonyx jubatus","Castor canadensis",1
"Acinonyx jubatus","Castor fiber",1
"Acinonyx jubatus","Ceratotherium simum",1
"Acinonyx jubatus","Diceros bicornis",1
"Acinonyx jubatus","Elephas maximus",1
"Acinonyx jubatus","Equus ferus",1
"Acinonyx jubatus","Felis silvestris",1
"Acinonyx jubatus","Herpailurus yagouaroundi",1
"Acinonyx jubatus","Leontocebus fuscicollis",1
"Acinonyx jubatus","Leopardus pardalis",1
"Acinonyx jubatus","Leptailurus serval",1
"Acinonyx jubatus","Loxodonta africana",1
"Acinonyx jubatus","Lynx lynx",1
"Acinonyx jubatus","Macaca fascicularis",1
"Acinonyx jubatus","Macaca fuscata",1
"Acinonyx jubatus","Macaca nemestrina",1
"Acinonyx jubatus","Macaca sylvanus",1
"Acinonyx jubatus","Meriones libycus",1
"Acinonyx jubatus","Micromys minutus",1
"Acinonyx jubatus","Microtus agrestis",1
"Acinonyx jubatus","Microtus arvalis",1
"Acinonyx jubatus","Microtus oeconomus",1
"Acinonyx jubatus","Microtus socialis",1
"Acinonyx jubatus","Mungos mungo",1
"Acinonyx jubatus","Mus musculus",1
"Acinonyx jubatus","Myodes glareolus",1
"Acinonyx jubatus","Myodes rufocanus",1
"Acinonyx jubatus","Myodes rutilus",1
"Acinonyx jubatus","Myrmecophaga tridactyla",1
"Acinonyx jubatus","Okapia johnstoni",1
"Acinonyx jubatus","Panthera leo",1
"Acinonyx jubatus","Panthera onca",1
"Acinonyx jubatus","Panthera pardus",1
"Acinonyx jubatus","Panthera tigris",1
"Acinonyx jubatus","Panthera uncia",1
"Acinonyx jubatus","Prionailurus bengalensis",1
"Acinonyx jubatus","Puma concolor",1
"Acinonyx jubatus","Rangifer tarandus",1
"Acinonyx jubatus","Rattus norvegicus",1
"Acinonyx jubatus","Rhombomys opimus",1
"Acinonyx jubatus","Saguinus oedipus",1
"Acinonyx jubatus","Sorex araneus",1
"Acinonyx jubatus","Speothos venaticus",1
"Acinonyx jubatus","Spermophilus fulvus",1
"Acinonyx jubatus","Tapirus indicus",1
"Acinonyx jubatus","Tapirus terrestris",1
"Aepyceros melampus","Antidorcas marsupialis",1
"Aepyceros melampus","Connochaetes gnou",1
"Aepyceros melampus","Connochaetes taurinus",1
"Aepyceros melampus","Damaliscus lunatus",1
"Aepyceros melampus","Giraffa camelopardalis",1
"Aepyceros melampus","Kobus ellipsiprymnus",1
"Aepyceros melampus","Oryx leucoryx",1
"Aepyceros melampus","Redunca arundinum",1
"Aepyceros melampus","Syncerus caffer",1
"Aepyceros melampus","Tragelaphus oryx",1
"Aepyceros melampus","Tragelaphus strepsiceros",1
"Ailurus fulgens","Apodemus agrarius",1
"Ailurus fulgens","Apodemus flavicollis",1
"Ailurus fulgens","Apodemus sylvaticus",1
"Ailurus fulgens","Arvicola scherman",1
"Ailurus fulgens","Callithrix jacchus",1
"Ailurus fulgens","Castor canadensis",1
"Ailurus fulgens","Castor fiber",1
"Ailurus fulgens","Ceratotherium simum",1
"Ailurus fulgens","Diceros bicornis",1
"Ailurus fulgens","Elephas maximus",1
"Ailurus fulgens","Equus ferus",1
"Ailurus fulgens","Felis silvestris",1
"Ailurus fulgens","Herpailurus yagouaroundi",1
"Ailurus fulgens","Leontocebus fuscicollis",1
"Ailurus fulgens","Leopardus pardalis",1
"Ailurus fulgens","Leptailurus serval",1
"Ailurus fulgens","Loxodonta africana",1
"Ailurus fulgens","Lynx lynx",1
"Ailurus fulgens","Macaca fascicularis",1
"Ailurus fulgens","Macaca fuscata",1
"Ailurus fulgens","Macaca nemestrina",1
"Ailurus fulgens","Macaca sylvanus",1
"Ailurus fulgens","Meriones libycus",1
"Ailurus fulgens","Micromys minutus",1
"Ailurus fulgens","Microtus agrestis",1
"Ailurus fulgens","Microtus arvalis",1
"Ailurus fulgens","Microtus oeconomus",1
"Ailurus fulgens","Microtus socialis",1
"Ailurus fulgens","Mungos mungo",1
"Ailurus fulgens","Mus musculus",1
"Ailurus fulgens","Myodes glareolus",1
"Ailurus fulgens","Myodes rufocanus",1
"Ailurus fulgens","Myodes rutilus",1
"Ailurus fulgens","Myrmecophaga tridactyla",1
"Ailurus fulgens","Okapia johnstoni",1
"Ailurus fulgens","Panthera leo",1
"Ailurus fulgens","Panthera onca",1
"Ailurus fulgens","Panthera pardus",1
"Ailurus fulgens","Panthera tigris",1
"Ailurus fulgens","Panthera uncia",1
"Ailurus fulgens","Prionailurus bengalensis",1
"Ailurus fulgens","Puma concolor",1
"Ailurus fulgens","Rangifer tarandus",1
"Ailurus fulgens","Rattus norvegicus",1
"Ailurus fulgens","Rhombomys opimus",1
"Ailurus fulgens","Saguinus oedipus",1
"Ailurus fulgens","Sorex araneus",1
"Ailurus fulgens","Speothos venaticus",1
"Ailurus fulgens","Spermophilus fulvus",1
"Ailurus fulgens","Tapirus indicus",1
"Ailurus fulgens","Tapirus terrestris",1
"Allenopithecus nigroviridis","Allochrocebus preussi",1
"Allenopithecus nigroviridis","Allochrocebus solatus",1
"Allenopithecus nigroviridis","Alouatta caraya",1
"Allenopithecus nigroviridis","Atherurus africanus",1
"Allenopithecus nigroviridis","Atherurus macrourus",1
"Allenopithecus nigroviridis","Callithrix jacchus",1
"Allenopithecus nigroviridis","Cercocebus galeritus",1
"Allenopithecus nigroviridis","Cercopithecus ascanius",1
"Allenopithecus nigroviridis","Cercopithecus campbelli",1
"Allenopithecus nigroviridis","Cercopithecus cephus",1
"Allenopithecus nigroviridis","Cercopithecus denti",1
"Allenopithecus nigroviridis","Cercopithecus diana",1
"Allenopithecus nigroviridis","Cercopithecus dryas",1
"Allenopithecus nigroviridis","Cercopithecus erythrogaster",1
"Allenopithecus nigroviridis","Cercopithecus erythrotis",1
"Allenopithecus nigroviridis","Cercopithecus hamlyni",1
"Allenopithecus nigroviridis","Cercopithecus mitis",1
"Allenopithecus nigroviridis","Cercopithecus mona",1
"Allenopithecus nigroviridis","Cercopithecus neglectus",1
"Allenopithecus nigroviridis","Cercopithecus nictitans",1
"Allenopithecus nigroviridis","Cercopithecus petaurista",1
"Allenopithecus nigroviridis","Cercopithecus roloway",1
"Allenopithecus nigroviridis","Cercopithecus sclateri",1
"Allenopithecus nigroviridis","Chinchilla lanigera",1
"Allenopithecus nigroviridis","Chlorocebus aethiops",1
"Allenopithecus nigroviridis","Cricetomys ansorgei",1
"Allenopithecus nigroviridis","Cricetomys emini",1
"Allenopithecus nigroviridis","Cricetomys gambianus",1
"Allenopithecus nigroviridis","Crocidura littoralis",1
"Allenopithecus nigroviridis","Cynomys gunnisoni",1
"Allenopithecus nigroviridis","Cynomys leucurus",1
"Allenopithecus nigroviridis","Cynomys ludovicianus",1
"Allenopithecus nigroviridis","Cynomys mexicanus",1
"Allenopithecus nigroviridis","Cynomys parvidens",1
"Allenopithecus nigroviridis","Didelphis marsupialis",1
"Allenopithecus nigroviridis","Dryomys laniger",1
"Allenopithecus nigroviridis","Dryomys nitedula",1
"Allenopithecus nigroviridis","Eliomys melanurus",1
"Allenopithecus nigroviridis","Eliomys quercinus",1
"Allenopithecus nigroviridis","Funisciurus anerythrus",1
"Allenopithecus nigroviridis","Funisciurus carruthersi",1
"Allenopithecus nigroviridis","Funisciurus congicus",1
"Allenopithecus nigroviridis","Funisciurus lemniscatus",1
"Allenopithecus nigroviridis","Funisciurus pyrropus",1
"Allenopithecus nigroviridis","Glirulus japonicus",1
"Allenopithecus nigroviridis","Glis glis",1
"Allenopithecus nigroviridis","Gorilla gorilla",1
"Allenopithecus nigroviridis","Graphiurus kelleni",1
"Allenopithecus nigroviridis","Graphiurus lorraineus",1
"Allenopithecus nigroviridis","Graphiurus microtis",1
"Allenopithecus nigroviridis","Graphiurus murinus",1
"Allenopithecus nigroviridis","Graphiurus ocularis",1
"Allenopithecus nigroviridis","Graphiurus platyops",1
"Allenopithecus nigroviridis","Heliosciurus gambianus",1
"Allenopithecus nigroviridis","Heliosciurus rufobrachium",1
"Allenopithecus nigroviridis","Heliosciurus ruwenzorii",1
"Allenopithecus nigroviridis","Heliosciurus undulatus",1
"Allenopithecus nigroviridis","Hybomys lunaris",1
"Allenopithecus nigroviridis","Hybomys univittatus",1
"Allenopithecus nigroviridis","Hylobates lar",1
"Allenopithecus nigroviridis","Macaca arctoides",1
"Allenopithecus nigroviridis","Macaca assamensis",1
"Allenopithecus nigroviridis","Macaca cyclopis",1
"Allenopithecus nigroviridis","Macaca fascicularis",1
"Allenopithecus nigroviridis","Macaca fuscata",1
"Allenopithecus nigroviridis","Macaca hecki",1
"Allenopithecus nigroviridis","Macaca maura",1
"Allenopithecus nigroviridis","Macaca munzala",1
"Allenopithecus nigroviridis","Macaca nemestrina",1
"Allenopithecus nigroviridis","Macaca nigra",1
"Allenopithecus nigroviridis","Macaca nigrescens",1
"Allenopithecus nigroviridis","Macaca ochreata",1
"Allenopithecus nigroviridis","Macaca pagensis",1
"Allenopithecus nigroviridis","Macaca radiata",1
"Allenopithecus nigroviridis","Macaca silenus",1
"Allenopithecus nigroviridis","Macaca sinica",1
"Allenopithecus nigroviridis","Macaca sylvanus",1
"Allenopithecus nigroviridis","Macaca thibetana",1
"Allenopithecus nigroviridis","Macaca tonkeana",1
"Allenopithecus nigroviridis","Malacomys longipes",1
"Allenopithecus nigroviridis","Marmota monax",1
"Allenopithecus nigroviridis","Monodelphis domestica",1
"Allenopithecus nigroviridis","Muscardinus avellanarius",1
"Allenopithecus nigroviridis","Myomimus roachi",1
"Allenopithecus nigroviridis","Myrmecophaga tridactyla",1
"Allenopithecus nigroviridis","Nasua nasua",1
"Allenopithecus nigroviridis","Pan troglodytes",1
"Allenopithecus nigroviridis","Piliocolobus badius",1
"Allenopithecus nigroviridis","Pongo pygmaeus",1
"Allenopithecus nigroviridis","Rhabdomys dilectus",1
"Allenopithecus nigroviridis","Rhabdomys pumilio",1
"Allenopithecus nigroviridis","Saimiri sciureus",1
"Allenopithecus nigroviridis","Sapajus apella",1
"Allenopithecus nigroviridis","Semnopithecus entellus",1
"Allenopithecus nigroviridis","Trachypithecus cristatus",1
"Allochrocebus preussi","Allochrocebus solatus",1
"Allochrocebus preussi","Alouatta caraya",1
"Allochrocebus preussi","Atherurus africanus",1
"Allochrocebus preussi","Atherurus macrourus",1
"Allochrocebus preussi","Callithrix jacchus",1
"Allochrocebus preussi","Cercocebus galeritus",1
"Allochrocebus preussi","Cercopithecus ascanius",1
"Allochrocebus preussi","Cercopithecus campbelli",1
"Allochrocebus preussi","Cercopithecus cephus",1
"Allochrocebus preussi","Cercopithecus denti",1
"Allochrocebus preussi","Cercopithecus diana",1
"Allochrocebus preussi","Cercopithecus dryas",1
"Allochrocebus preussi","Cercopithecus erythrogaster",1
"Allochrocebus preussi","Cercopithecus erythrotis",1
"Allochrocebus preussi","Cercopithecus hamlyni",1
"Allochrocebus preussi","Cercopithecus mitis",1
"Allochrocebus preussi","Cercopithecus mona",1
"Allochrocebus preussi","Cercopithecus neglectus",1
"Allochrocebus preussi","Cercopithecus nictitans",1
"Allochrocebus preussi","Cercopithecus petaurista",1
"Allochrocebus preussi","Cercopithecus roloway",1
"Allochrocebus preussi","Cercopithecus sclateri",1
"Allochrocebus preussi","Chinchilla lanigera",1
"Allochrocebus preussi","Chlorocebus aethiops",1
"Allochrocebus preussi","Cricetomys ansorgei",1
