"Native_Species","Alien_Species","Cells_Native","Cells_Alien","Union_Cells","Overlapping_Cells"
"Canis aureus","Ammotragus lervia",473410,17,473417,10
"Canis lupus","Ammotragus lervia",3440898,17,3440905,10
"Lutra lutra","Ammotragus lervia",1710166,17,1710173,10
"Martes foina","Ammotragus lervia",482970,17,482970,17
"Martes martes","Ammotragus lervia",486442,17,486442,17
"Meles meles","Ammotragus lervia",599196,17,599196,17
"Mustela erminea","Ammotragus lervia",2854024,17,2854034,7
"Mustela nivalis","Ammotragus lervia",3056825,17,3056825,17
"Mustela putorius","Ammotragus lervia",393166,17,393166,17
"Vulpes vulpes","Ammotragus lervia",2913350,17,2913350,17
"Capreolus capreolus","Ammotragus lervia",413803,17,413803,17
"Cervus elaphus","Ammotragus lervia",260445,17,260455,7
"Sus scrofa","Ammotragus lervia",1451051,17,1451052,16
"Barbastella barbastellus","Ammotragus lervia",141987,17,141997,7
"Eptesicus serotinus","Ammotragus lervia",565346,17,565346,17
"Hypsugo savii","Ammotragus lervia",208888,17,208888,17
"Miniopterus schreibersii","Ammotragus lervia",77870,17,77886,1
"Myotis nattereri","Ammotragus lervia",52885,17,52901,1
"Acinonyx jubatus","Beatragus hunteri",126043,65,126043,65
"Aonyx capensis","Beatragus hunteri",446078,65,446098,45
"Atilax paludinosus","Beatragus hunteri",542679,65,542699,45
"Canis adustus","Beatragus hunteri",434761,65,434761,65
"Canis mesomelas","Beatragus hunteri",269195,65,269195,65
"Caracal caracal","Beatragus hunteri",726152,65,726152,65
"Civettictis civetta","Beatragus hunteri",584129,65,584160,34
"Crocuta crocuta","Beatragus hunteri",565055,65,565055,65
"Felis silvestris","Beatragus hunteri",1245541,65,1245541,65
"Genetta genetta","Beatragus hunteri",454158,65,454186,37
"Genetta maculata","Beatragus hunteri",456462,65,456487,40
"Helogale hirtula","Beatragus hunteri",29138,65,29138,65
"Helogale parvula","Beatragus hunteri",241224,65,241224,65
"Herpestes ichneumon","Beatragus hunteri",599956,65,599956,65
"Herpestes sanguineus","Beatragus hunteri",675837,65,675837,65
"Hyaena hyaena","Beatragus hunteri",1017707,65,1017707,65
"Ichneumia albicauda","Beatragus hunteri",584304,65,584304,65
"Ictonyx striatus","Beatragus hunteri",598560,65,598560,65
"Leptailurus serval","Beatragus hunteri",513617,65,513617,65
"Lycaon pictus","Beatragus hunteri",53761,65,53761,65
"Mellivora capensis","Beatragus hunteri",1005324,65,1005351,38
"Mungos mungo","Beatragus hunteri",401331,65,401331,65
"Otocyon megalotis","Beatragus hunteri",204530,65,204530,65
"Panthera leo","Beatragus hunteri",71193,65,71193,65
"Panthera pardus","Beatragus hunteri",360065,65,360065,65
"Proteles cristata","Beatragus hunteri",247981,65,247981,65
"Aepyceros melampus","Beatragus hunteri",124607,65,124607,65
"Alcelaphus buselaphus","Beatragus hunteri",277273,65,277273,65
"Giraffa camelopardalis","Beatragus hunteri",67847,65,67891,21
"Hippopotamus amphibius","Beatragus hunteri",53466,65,53468,63
"Kobus ellipsiprymnus","Beatragus hunteri",356433,65,356433,65
"Litocranius walleri","Beatragus hunteri",52804,65,52828,41
"Madoqua kirkii","Beatragus hunteri",32349,65,32372,42
"Nanger granti","Beatragus hunteri",30893,65,30893,65
"Nesotragus moschatus","Beatragus hunteri",51803,65,51829,39
"Oryx beisa","Beatragus hunteri",38932,65,38932,65
"Ourebia ourebi","Beatragus hunteri",263485,65,263537,13
"Phacochoerus aethiopicus","Beatragus hunteri",12591,65,12649,7
"Phacochoerus africanus","Beatragus hunteri",402712,65,402712,65
"Raphicerus campestris","Beatragus hunteri",171646,65,171646,65
"Redunca redunca","Beatragus hunteri",216305,65,216305,65
"Sylvicapra grimmia","Beatragus hunteri",552324,65,552324,65
"Syncerus caffer","Beatragus hunteri",343840,65,343840,65
"Tragelaphus imberbis","Beatragus hunteri",53730,65,53753,42
"Tragelaphus oryx","Beatragus hunteri",280452,65,280452,65
"Tragelaphus scriptus","Beatragus hunteri",482331,65,482331,65
"Cardioderma cor","Beatragus hunteri",55688,65,55713,40
"Chaerephon bemmeleni","Beatragus hunteri",15478,65,15541,2
"Chaerephon bivittatus","Beatragus hunteri",60485,65,60509,41
"Chaerephon pumilus","Beatragus hunteri",227354,65,227379,40
"Coleura afra","Beatragus hunteri",87146,65,87169,42
"Eidolon helvum","Beatragus hunteri",386074,65,386101,38
"Epomophorus minor","Beatragus hunteri",78693,65,78693,65
"Epomophorus wahlbergi","Beatragus hunteri",170375,65,170401,39
"Glauconycteris variegata","Beatragus hunteri",302777,65,302806,36
"Hipposideros ruber","Beatragus hunteri",314849,65,314871,43
"Kerivoula lanosa","Beatragus hunteri",319724,65,319751,38
"Lavia frons","Beatragus hunteri",250031,65,250059,37
"Lissonycteris angolensis","Beatragus hunteri",346310,65,346310,65
"Macronycteris gigas","Beatragus hunteri",136874,65,136915,24
"Macronycteris vittatus","Beatragus hunteri",148489,65,148517,37
"Mops condylurus","Beatragus hunteri",2621,65,2685,1
"Neoromicia capensis","Beatragus hunteri",462563,65,462565,63
"Neoromicia rendalli","Beatragus hunteri",4824,65,4888,1
"Nycteris aurita","Beatragus hunteri",7832,65,7896,1
"Nycteris hispida","Beatragus hunteri",71334,65,71398,1
"Nycteris thebaica","Beatragus hunteri",376522,65,376525,62
"Nycticeinops schlieffeni","Beatragus hunteri",13181,65,13243,3
"Pipistrellus grandidieri","Beatragus hunteri",1974,65,2036,3
"Rhinolophus eloquens","Beatragus hunteri",1790,65,1854,1
"Rhinolophus fumigatus","Beatragus hunteri",30500,65,30563,2
"Rousettus aegyptiacus","Beatragus hunteri",134602,65,134604,63
"Triaenops persicus","Beatragus hunteri",2355,65,2417,3
"Atelerix albiventris","Beatragus hunteri",122959,65,122962,62
"Crocidura fuscomurina","Beatragus hunteri",180084,65,180087,62
"Crocidura parvipes","Beatragus hunteri",51277,65,51341,1
"Crocidura voi","Beatragus hunteri",4215,65,4278,2
"Suncus lixus","Beatragus hunteri",40799,65,40804,60
"Heterohyrax brucei","Beatragus hunteri",17777,65,17840,2
"Lepus capensis","Beatragus hunteri",277423,65,277467,21
"Elephantulus rufescens","Beatragus hunteri",22118,65,22123,60
"Petrodromus tetradactylus","Beatragus hunteri",16475,65,16538,2
"Ceratotherium simum","Beatragus hunteri",99724,65,99727,62
"Diceros bicornis","Beatragus hunteri",19672,65,19734,3
"Equus quagga","Beatragus hunteri",29443,65,29446,62
"Smutsia temminckii","Beatragus hunteri",192367,65,192370,62
"Otolemur crassicaudatus","Beatragus hunteri",9409,65,9473,1
"Loxodonta africana","Beatragus hunteri",74600,65,74600,65
"Acomys ignitus","Beatragus hunteri",414,65,476,3
"Aethomys chrysophilus","Beatragus hunteri",30999,65,31063,1
"Aethomys hindei","Beatragus hunteri",71704,65,71707,62
"Cricetomys ansorgei","Beatragus hunteri",30585,65,30648,2
"Dasymys incomtus","Beatragus hunteri",207022,65,207075,12
"Gerbilliscus nigricaudus","Beatragus hunteri",5548,65,5612,1
"Gerbilliscus robustus","Beatragus hunteri",82140,65,82142,63
"Graphiurus murinus","Beatragus hunteri",39092,65,39142,15
