"virus","spp","countries"
"carnivore amdoparvovirus 1","Neovison vison","CHN"
"carnivore amdoparvovirus 1","Neovison vison","DNK"
"carnivore amdoparvovirus 1","Neovison vison","ESP"
"carnivore amdoparvovirus 1","Neovison vison","EST"
"carnivore amdoparvovirus 1","Neovison vison","FIN"
"carnivore amdoparvovirus 1","Neovison vison","GRC"
"carnivore amdoparvovirus 1","Neovison vison","ISL"
"carnivore amdoparvovirus 1","Neovison vison","ITA"
"carnivore amdoparvovirus 1","Neovison vison","LTU"
"carnivore amdoparvovirus 1","Neovison vison","LVA"
"carnivore amdoparvovirus 1","Neovison vison","NLD"
"carnivore amdoparvovirus 1","Neovison vison","NOR"
"carnivore amdoparvovirus 1","Neovison vison","POL"
"carnivore amdoparvovirus 1","Neovison vison","SWE"
"myxoma virus","Oryctolagus cuniculus","CHE"
"myxoma virus","Oryctolagus cuniculus","FIN"
"myxoma virus","Oryctolagus cuniculus","GBR"
"myxoma virus","Oryctolagus cuniculus","GRC"
"myxoma virus","Oryctolagus cuniculus","IRL"
"myxoma virus","Oryctolagus cuniculus","ITA"
"myxoma virus","Oryctolagus cuniculus","POL"
"myxoma virus","Oryctolagus cuniculus","RUS"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","AUS"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","CAN"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","FIN"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","GBR"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","ITA"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","JPN"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","POL"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","ROU"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","RUS"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","SWE"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","TUN"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","USA"
"rabbit hemorrhagic disease virus","Lepus europaeus","AUS"
"monkeypox virus","Cricetomys gambianus","USA"
"rabbit hemorrhagic disease virus","Lepus capensis","ITA"
"picobirnavirus green monkey/kna/2015","Chlorocebus sabaeus","KNA"
"simian torque teno virus","Chlorocebus sabaeus","KNA"
"torque teno chlorocebus virus 1","Chlorocebus sabaeus","KNA"
"simian torque teno virus 33","Chlorocebus sabaeus","KNA"
"mamastrovirus 10","Neovison vison","POL"
"mink calicivirus","Neovison vison","ITA"
"mink coronavirus 1","Neovison vison","DNK"
"mink enteric sapovirus","Neovison vison","DNK"
"charmer virus","Vulpes vulpes","AUS"
"labrador amdoparvovirus 2","Vulpes vulpes","CAN"
"porcine circovirus 3","Vulpes vulpes","CAN"
"swiper virus","Vulpes vulpes","AUS"
"tod virus-1","Vulpes vulpes","AUS"
"tod virus-2","Vulpes vulpes","AUS"
"vixey virus","Vulpes vulpes","AUS"
"vulpix virus","Vulpes vulpes","AUS"
"wilde virus-1","Vulpes vulpes","AUS"
"wilde virus-2","Vulpes vulpes","AUS"
"wilde virus-3","Vulpes vulpes","AUS"
"aoudad malignant catarrhal fever virus","Ammotragus lervia","USA"
"astrovirus sp.","Suncus murinus","REU"
"soricidae paramyxovirus","Suncus murinus","REU"
"capra aegagrus polyomavirus 1","Capra aegagrus","ESP"
"bovidae gammaherpesvirus 2","Antilope cervicapra","USA"
"fallow deer lymphotropic herpesvirus","Dama dama","USA"
"picobirnavirus sp.","Dama dama","AUS"
"callosciurus erythraeus betaherpesvirus 1","Callosciurus erythraeus","ITA"
"callosciurus erythraeus gammaherpesvirus 1","Callosciurus erythraeus","ITA"
"callosciurus erythraeus polyomavirus 1","Callosciurus erythraeus","ITA"
"squirrel associated cyclovirus 1","Callosciurus erythraeus","JPN"
"pestivirus c","Oryctolagus cuniculus","CUB"
"myxoma virus","Oryctolagus cuniculus","AUS"
"myxoma virus","Oryctolagus cuniculus","CHL"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","CHL"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","REU"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","NZL"
"rabbit hemorrhagic disease virus","Oryctolagus cuniculus","MLT"
"epsilonpapillomavirus 2","Cervus elaphus","NZL"
"parapoxvirus of red deer in new zealand","Cervus elaphus","NZL"
"epsilonpapillomavirus 2","Cervus canadensis","NZL"
"hare calicivirus australia-1","Lepus europaeus","AUS"
"hare calicivirus australia-2","Lepus europaeus","AUS"
"hare calicivirus australia-3","Lepus europaeus","AUS"
"porcine stool-associated circular virus","Lepus europaeus","NZL"
"grey squirrel kobuvirus","Sciurus carolinensis","GBR"
"paramyxovirus c40","Sciurus carolinensis","GBR"
"sciurus carolinensis betaherpesvirus 1","Sciurus carolinensis","ITA"
"sciurus carolinensis gammaherpesvirus 1","Sciurus carolinensis","GBR"
"sciurus carolinensis polyomavirus 1","Sciurus carolinensis","GBR"
"hepatitis b virus","Macaca fascicularis","MUS"
"macaca fascicularis lymphocryptovirus","Macaca fascicularis","MUS"
"musk ox parapoxvirus","Ovibos moschatus","NOR"
"mustelid gammaherpesvirus 2","Hydropotes inermis","GBR"
"orf virus","Rangifer tarandus","ISL"
"civet circovirus","Paguma larvata","JPN"
"picobirnavirus sp.","Rusa unicolor","AUS"
"porcine stool-associated circular virus","Trichosurus vulpecula","NZL"
"kappaarterivirus wobum","Trichosurus vulpecula","NZL"
